CS_ID	Keyword_ID	Intent_1	Authority
CS_00117	bone loss in gums	Generic	Expert
CS_00118	medical benefits of ginger	Direct Answer	Expert
CS_00119	gatorade side effects	Direct Answer	Expert
CS_00120	what do gnats look like	Generic	Expert
CS_00121	add symptoms and treatment	Direct Answer	Expert
CS_00122	what is vertigo disease	Generic	Expert
CS_00123	heart flutter and cough	Generic	Expert
CS_00124	red spots on arms	Generic	Expert
CS_00125	how to stop blood clots	Guide	Expert
CS_00126	mssa staph infection	Generic	Expert
CS_00127	signs of gout in feet	Direct Answer	Expert
CS_00128	lung capacity chart	Resource	General
CS_00129	arm pain and cancer	Generic	Expert
CS_00130	what causes cysts on liver	Direct Answer	Expert
CS_00131	hernia stomach symptoms	Direct Answer	Expert
CS_00132	normal urine creatinine	Direct Answer	Expert
CS_00133	swelling under the tongue	Generic	Expert
CS_00134	drooling while sleeping	Generic	Expert
CS_00135	what can bad teeth cause	Direct Answer	Expert
CS_00136	remedies for dog cough	Guide	Expert
CS_00137	lumbar spine injections	Generic	Expert
CS_00138	health benefit of coconut oil	Direct Answer	Expert
CS_00139	reasons for constant nausea	Direct Answer	Expert
CS_00140	natural flea remedies	Guide	Expert
CS_00141	philips universal codes	Generic	General
CS_00142	last stages of emphysema	Direct Answer	Expert
CS_00143	side effects of liver cancer	Direct Answer	Expert
CS_00144	what is hemorrhagic stroke	Generic	Expert
CS_00145	claims address for cigna	Generic	General
CS_00146	military officers association	Navigational	General
CS_00147	water retention in legs	Generic	Expert
CS_00148	about bunion surgery	Generic	Expert
CS_00149	elevated red blood cells	Direct Answer	Expert
CS_00150	remedy for foot swelling	Guide	Expert
CS_00151	mrsa early stages	Direct Answer	Expert
CS_00152	ibuprofen 400mg side effects	Direct Answer	Expert
CS_00153	diabetes and microalbumin	Generic	Expert
CS_00154	what is a growth plate	Generic	Expert
CS_00155	sudden big toe pain	Generic	Expert
CS_00156	fructosamine levels	Direct Answer	Expert
CS_00157	what is ldl and hdl	Generic	Expert
CS_00158	blood pressure log book	Resource	General
CS_00159	microalbumin urine	Generic	Expert
CS_00160	best probiotics for bloating	Direct Answer	Opinion
CS_00161	mineral oil side effects	Direct Answer	Expert
CS_00162	hydrogen peroxide remedies	Direct Answer	Expert
CS_00163	treatment broken rib	Guide	Expert
CS_00164	fungus under the fingernail	Generic	Expert
CS_00165	how did head lice start	Direct Answer	Expert
CS_00166	what causes stuffy nose	Direct Answer	Expert
CS_00167	drop foot exercises	Guide	Expert
CS_00168	rebiana side effects	Direct Answer	Expert
CS_00169	sciatica acupuncture	Generic	Expert
CS_00170	diet for crohns disease	Resource	Expert
CS_00171	how to heal a heel spur	Guide	Expert
CS_00172	stabbing pain on top of foot	Generic	Expert
CS_00173	subchondral fracture knee	Generic	Expert
CS_00174	diabetes chart	Resource	General
CS_00175	prolapsed hemorrhoid picture	Resource	General
CS_00176	upper eye lid twitching	Generic	Expert
CS_00177	how to treat jellyfish sting	Guide	Expert
CS_00178	itchy skin rash on body	Generic	Expert
CS_00179	veterans hospital orlando	Generic	General
CS_00180	how do people get lice	Direct Answer	Expert
CS_00181	treatment for scoliosis	Guide	Expert
CS_00182	mother board specs	Direct Answer	General
CS_00183	deer tick bite photo	Resource	General
CS_00184	personality disorder test	Resource	Expert
CS_00185	cataract surgery success rate	Generic	Expert
CS_00186	bone on bone pain	Generic	Expert
CS_00187	gallstone removal operation	Generic	Expert
CS_00188	hepatitis c genotype 4	Generic	Expert
CS_00189	eviction records	Direct Answer	General
CS_00190	arthritis in muscles	Generic	Expert
CS_00191	what is a hyperbaric chamber	Generic	Expert
CS_00192	knee osteoarthritis treatment	Guide	Expert
CS_00193	mouth ulcers causes cures	Direct Answer	Expert
CS_00194	how to beat a polygraph test	Guide	Expert
CS_00195	parotid gland tumor surgery	Generic	Expert
CS_00196	leukoplakia treatment	Guide	Expert
CS_00197	pain bottom of heel	Generic	Expert
CS_00198	hand numbness after surgery	Generic	Expert
CS_00199	red itchy rash pictures	Resource	General
CS_00200	microscopic colitis	Generic	Expert
CS_00201	drink for inflammation	Direct Answer	Expert
CS_00202	side effects of cryotherapy	Direct Answer	Expert
CS_00203	what is hlh syndrome	Generic	Expert
CS_00204	high functioning autism test	Generic	Expert
CS_00205	side effects from anesthesia	Direct Answer	Expert
CS_00206	headaches while sleeping	Generic	Expert
CS_00207	cat claw side effects	Direct Answer	Expert
CS_00208	treatment for high tsh levels	Guide	Expert
CS_00209	what is black mold	Generic	Expert
CS_00210	what causes thrush	Direct Answer	Expert
CS_00211	pb8 probiotic side effects	Direct Answer	Expert
CS_00212	learn how to hypnotize free	Guide	Expert
CS_00213	signs of skin cancer on back	Direct Answer	Expert
CS_00214	willow bark for arthritis	Generic	Expert
CS_00215	pain management guidelines	Direct Answer	Expert
CS_00216	low iron in blood	Generic	Expert
CS_00217	food to eat with gout	Direct Answer	Expert
CS_00218	what is humility	Generic	General
CS_00219	pathophysiology test bank	Generic	Expert
CS_00220	testicular pain	Generic	Expert
CS_00221	symptoms of broken wrist	Direct Answer	Expert
CS_00222	cause of gallbladder stones	Direct Answer	Expert
CS_00223	multicare mychart login	Navigational	General
CS_00224	what is hepatitis d	Generic	Expert
CS_00225	cidp causes	Direct Answer	Expert
CS_00226	what is a nervous stomach	Generic	Expert
CS_00227	cushings disease in horses	Generic	Expert
CS_00228	diseases that cause itching	Generic	Expert
CS_00229	incline board for back pain	Direct Answer	Expert
CS_00230	how does abreva work	Guide	Expert
CS_00231	how do you cure a earache	Guide	Expert
CS_00232	swollen knee and leg pain	Generic	Expert
CS_00233	bad taste mouth cancer	Direct Answer	Expert
CS_00234	how to prevent glaucoma	Guide	Expert
CS_00235	patient advocate	Generic	General
CS_00236	medical transfer forms	Resource	Expert
CS_00237	lung cancer in women	Generic	Expert
CS_00238	cause and effect of obesity	Direct Answer	Expert
CS_00239	thyroid neuropathy symptoms	Direct Answer	Expert
CS_00240	klebsiella oxytoca bacteria	Generic	Expert
CS_00241	what to take for itching skin	Generic	Expert
CS_00242	passing an etg test	Generic	Expert
CS_00243	chronic myelocytic leukemia	Generic	Expert
CS_00244	severe neck pain left side	Generic	Expert
CS_00245	what causes high ldl	Direct Answer	Expert
CS_00246	treatment for irritable bowel	Guide	Expert
CS_00247	burning in the chest area	Generic	Expert
CS_00248	pictures of melanoma cancer	Resource	Expert
CS_00249	facts about oil spills	Generic	General
CS_00250	scripps hospital la jolla	Generic	General
CS_00251	american leukemia society	Navigational	General
CS_00252	non profit sponsorship levels	Generic	Expert
CS_00253	burning symptoms in stomach	Direct Answer	Expert
CS_00254	thyroglobulin levels	Generic	Expert
CS_00255	liquid diets foods list	Resource	General
CS_00256	polycystic kidney pictures	Resource	Expert
CS_00257	pelvic surgery	Generic	Expert
CS_00258	guardiananytime dentist	Generic	General
CS_00259	causes of bruising on legs	Direct Answer	Expert
CS_00260	severe peripheral neuropathy	Generic	Expert
CS_00261	my healthevet register	Generic	General
CS_00262	personality profile tests free	Resource	General
CS_00263	meal plan for ibs sufferers	Generic	Expert
CS_00264	causes boils on your body	Direct Answer	Expert
CS_00265	low white blood platelets	Direct Answer	Expert
CS_00266	widowmaker heart attack	Generic	Expert
CS_00267	diabetes questions	Generic	Expert
CS_00268	severe dry mouth cure	Generic	Expert
CS_00269	tumor in stomach	Generic	Expert
CS_00270	what is purging	Generic	Expert
CS_00271	medical guidelines	Resource	Expert
CS_00272	osteoarthritis neck symptoms	Direct Answer	Expert
CS_00273	antihistamines list	Direct Answer	Expert
CS_00274	mrsa in urine symptoms	Direct Answer	Expert
CS_00275	what cause dilated pupil	Direct Answer	Expert
CS_00276	itchy skin from allergies	Generic	Expert
CS_00277	www peoplespharmacy com	Navigational	General
CS_00278	dementia symptoms anger	Direct Answer	Expert
CS_00279	causes of balance problems	Direct Answer	Expert
CS_00280	blood test for liver enzymes	Direct Answer	Expert
CS_00281	orthopedic terminology	Generic	Expert
CS_00282	what is renal carcinoma	Generic	Expert
CS_00283	protime levels	Direct Answer	Expert
CS_00284	gfr levels	Direct Answer	Expert
CS_00285	red rash all over body	Generic	Expert
CS_00286	herbs to lower triglycerides	Direct Answer	Expert
CS_00287	reasons for hair loss	Direct Answer	Expert
CS_00288	dissolve kidney stones fast	Guide	Expert
CS_00289	cysts in lungs	Generic	Expert
CS_00290	partial cornea transplant	Generic	Expert
CS_00291	emotional health	Generic	Expert
CS_00292	high monocytes count	Generic	Expert
CS_00293	blood sugar chart printable	Resource	Expert
CS_00294	hemorrhagic cyst treatment	Guide	Expert
CS_00295	diseases of citrus trees	Direct Answer	General
CS_00296	what is a hamstring injury	Generic	Expert
CS_00297	symptoms of arthritis in knees	Direct Answer	Expert
CS_00298	what is mental depression	Generic	Expert
CS_00299	pain under shoulder blade	Generic	Expert
CS_00300	how to treat a cold sore	Guide	Expert
CS_00301	hand sign symbols	Resource	General
CS_00302	bee stings for arthritis	Generic	Expert
CS_00303	natural treatments for colitis	Guide	Expert
CS_00304	blocked salivary gland picture	Resource	Expert
CS_00305	what is a dermoid tumor	Generic	General
CS_00306	is crohns disease fatal	Direct Answer	Expert
CS_00307	rib cage muscle pain	Generic	Expert
CS_00308	gallbladder surgery cost	Transactional	Expert
CS_00309	what do cold sores look like	Generic	General
CS_00310	stomach gas pain	Generic	Expert
CS_00311	symptoms of stroke women	Direct Answer	Expert
CS_00312	inflamed intestines symptoms	Direct Answer	Expert
CS_00313	low blood count reasons	Direct Answer	Expert
CS_00314	what grains contain gluten	Generic	Expert
CS_00315	hpv types 16 and 18	Generic	Expert
CS_00316	what is palliative treatment	Guide	Expert
CS_00317	heart pressure	Generic	Expert
CS_00318	numb fingers right hand	Generic	Expert
CS_00319	the signs of dementia	Direct Answer	Expert
CS_00320	bottom of feet pictures	Resource	General
CS_00321	home concussion treatment	Guide	Expert
CS_00322	benefits of taking fish oil	Direct Answer	Expert
CS_00323	uterine cancer images	Resource	Expert
CS_00324	sinus and teeth pain	Generic	Expert
CS_00325	side effects of latuda	Direct Answer	Expert
CS_00326	home remedies for phlebitis	Guide	Expert
CS_00327	signs symptoms hyperglycemia	Direct Answer	Expert
CS_00328	creams for burns	Generic	Expert
CS_00329	pressure in rectum	Generic	Expert
CS_00330	sundowners disease	Direct Answer	Expert
CS_00331	caffeine addiction treatment	Guide	Expert
CS_00332	lockjaw causes	Direct Answer	Expert
CS_00333	encouraging words illness	Direct Answer	Expert
CS_00334	eye stroke treatment	Guide	Expert
CS_00335	oral lichen planus	Direct Answer	Expert
CS_00336	sinusitis remedies	Guide	Expert
CS_00337	ablation vs hysterectomy	Generic	Expert
CS_00338	bioidentical hormones	Generic	Expert
CS_00339	full thyroid panel blood test	Generic	Expert
CS_00340	treatment for heart disease	Guide	Expert
CS_00341	psa after radiation treatment	Guide	Expert
CS_00342	best probiotic for constipation	Generic	Expert
CS_00343	wound care guidelines	Guide	Expert
CS_00344	abdominal pain symptoms	Direct Answer	Expert
CS_00345	what is dyspepsia	Generic	Expert
CS_00346	rsd syndrome treatment	Guide	Expert
CS_00347	neck osteoarthritis treatment	Guide	Expert
CS_00348	what is an aggressive cancer	Generic	Expert
CS_00349	pain after hysterectomy	Generic	Expert
CS_00350	high bun symptoms	Direct Answer	Expert
CS_00351	psa results	Generic	Expert
CS_00352	benign lung tumor symptoms	Direct Answer	Expert
CS_00353	medical license number	Generic	General
CS_00354	hernia mesh recall list	Direct Answer	Expert
CS_00355	what fruits cause diarrhea	Direct Answer	Expert
CS_00356	stiff neck pain remedies	Guide	Expert
CS_00357	thyroid biopsy	Generic	Expert
CS_00358	honeywell aquastat manual	Resource	General
CS_00359	golf elbow treatment	Guide	Expert
CS_00360	watermelon and diabetes	Generic	Expert
CS_00361	treatment for syphilis	Guide	Expert
CS_00362	body tremors and shakes	Direct Answer	Expert
CS_00363	lung disease pictures	Resource	General
CS_00364	degenerative disc causes	Direct Answer	Expert
CS_00365	what does poem mean	Generic	General
CS_00366	icd 10 cm codes	Direct Answer	Expert
CS_00367	inguinal lymph nodes pictures	Resource	General
CS_00368	verbal warning template	Resource	Expert
CS_00369	lumbar spine spondylosis	Generic	Expert
CS_00370	causes of myoclonic jerks	Direct Answer	Expert
CS_00371	chest and back pain	Generic	Expert
CS_00372	average cost of dental braces	Transactional	Expert
CS_00373	fistula surgery dialysis	Generic	Expert
CS_00374	brown scaly spots on skin	Generic	Expert
CS_00375	what is flatulence	Generic	Expert
CS_00376	my record	Generic	General
CS_00377	parathyroid test	Generic	Expert
CS_00378	air conditioner codes	Generic	General
CS_00379	best cure for foot fungus	Generic	Expert
CS_00380	diet for rosacea	Resource	Expert
CS_00381	indigestion home remedies	Guide	Expert
CS_00382	dmso dangers	Direct Answer	Expert
CS_00383	black cherry juice side effects	Direct Answer	Expert
CS_00384	diet after gallstone surgery	Resource	Expert
CS_00385	pain in the left shoulder	Direct Answer	Expert
CS_00386	signs symptoms of vertigo	Direct Answer	Expert
CS_00387	what is acs	Direct Answer	Expert
CS_00388	low grade prostate cancer	Generic	Expert
CS_00389	risks of gamma knife surgery	Direct Answer	Expert
CS_00390	partial hip replacement	Generic	Expert
CS_00391	stage 4 lymphoma symptoms	Direct Answer	Expert
CS_00392	benign neoplasm of skin	Generic	Expert
CS_00393	cleveland clinic cardiologists	Direct Answer	General
CS_00394	cpt code lookup 2013	Generic	Expert
CS_00395	cold fx ingredients	Direct Answer	General
CS_00396	body mites on humans	Generic	Expert
CS_00397	causes of bone loss	Direct Answer	Expert
CS_00398	tooth implant problems	Generic	Expert
CS_00399	female colonoscopy video	Resource	General
CS_00400	rectal polyp symptoms	Direct Answer	Expert
CS_00401	occipital neuralgia surgery	Generic	Expert
CS_00402	fruits for high blood pressure	Direct Answer	Expert
CS_00403	aarp membership	Direct Answer	General
CS_00404	shingles on face and head	Generic	Expert
CS_00405	dangerous cholesterol levels	Generic	Expert
CS_00406	air force facts	Generic	General
CS_00407	average price for lasik	Transactional	Expert
CS_00408	ct myelogram procedure	Guide	Expert
CS_00409	icd-9 codes 2014	Generic	General
CS_00410	hearing problems symptoms	Direct Answer	Expert
CS_00411	rare autoimmune diseases	Generic	Expert
CS_00412	complaints against physicians	Generic	General
CS_00413	the healing codes manual	Resource	Expert
CS_00414	l5 s1 surgery	Generic	Expert
CS_00415	heart failure symptoms in women	Direct Answer	Expert
CS_00416	how to erase a cd	Guide	Expert
CS_00417	spleen removal effects	Direct Answer	Expert
CS_00418	am i manic depressive test	Direct Answer	Expert
CS_00419	how do you get swine flu	Generic	Expert
CS_00420	what causes worms	Direct Answer	Expert
CS_00421	vital records forms	Resource	Expert
CS_00422	facts about lupus	Direct Answer	Expert
CS_00423	high ferritin symptoms	Direct Answer	Expert
CS_00424	shingles long term effects	Direct Answer	Expert
CS_00425	blood pressure log	Generic	Expert
CS_00426	diseases of the uterus	Generic	Expert
CS_00427	treatment of heart failure	Guide	Expert
CS_00428	orthopedic knee surgeons	Direct Answer	Expert
CS_00429	how to detox from alcohol	Guide	Expert
CS_00430	calcium around heart	Generic	Expert
CS_00431	cosamin ds side effects	Direct Answer	Expert
CS_00432	ask the doctor free	Direct Answer	General
CS_00433	dual diagnosis worksheets	Direct Answer	General
CS_00434	what is a bmt blood test	Generic	Expert
CS_00435	home remedies for headlice	Guide	General
CS_00436	papillary cancer	Generic	Expert
CS_00437	what are the signs of cancer	Direct Answer	Expert
CS_00438	abdominal aneurysm surgery	Generic	Expert
CS_00439	schizoaffective disorder	Generic	General
CS_00440	pelvic pain on right side	Generic	Expert
CS_00441	benefit of evening primrose	Direct Answer	General
CS_00442	reasons for numb fingers	Direct Answer	Expert
CS_00443	oak tree allergy symptoms	Direct Answer	Expert
CS_00444	leg pain when walking	Generic	Expert
CS_00445	lumps under skin	Generic	Expert
CS_00446	does alcohol cause diabetes	Direct Answer	Expert
CS_00447	thyroid blood test	Generic	Expert
CS_00448	pictures of gallbladder	Resource	Expert
CS_00449	foods to eat for cancer	Direct Answer	Expert
CS_00450	signs of adrenal problems	Direct Answer	Expert
CS_00451	ear fungal infection treatment	Guide	Expert
CS_00452	cpt codes for lab tests	Generic	Expert
CS_00453	symptoms of addiction	Direct Answer	Expert
CS_00454	diabetes hotline 24 hour	Generic	General
CS_00455	dr joel wallach diabetes	Generic	Expert
CS_00456	cause of severe constipation	Direct Answer	Expert
CS_00457	skin barnacles pictures	Resource	Expert
CS_00458	irregular heartbeat treatment	Guide	Expert
CS_00459	top orthopedic doctors in nj	Generic	General
CS_00460	cold sores in mouth remedies	Direct Answer	Expert
CS_00461	high acid foods	Direct Answer	Expert
CS_00462	ginseng for women	Generic	General
CS_00463	what is the tdap immunization	Generic	General
CS_00464	bladder tests cystoscopy	Generic	Expert
CS_00465	burning sensation in leg	Generic	Expert
CS_00466	natural remedies for eczema	Direct Answer	Expert
CS_00467	patient days calculation	Direct Answer	Expert
CS_00468	red spot in bladder	Generic	Expert
CS_00469	chemotherapy port	Generic	Expert
CS_00470	about heart disease	Generic	Expert
CS_00471	article on breast cancer	Generic	Expert
CS_00472	wrist pain relief	Generic	Expert
CS_00473	causes of meningioma	Direct Answer	Expert
CS_00474	lung atelectasis definition	Generic	Expert
CS_00475	what to do for tmj pain	Guide	Expert
CS_00476	chemotherapy and radiation	Generic	Expert
CS_00477	carotid artery treatment	Guide	Expert
CS_00478	navel hernia pictures	Resource	General
CS_00479	food allergy symptoms	Direct Answer	Expert
CS_00480	description of diabetes	Generic	Expert
CS_00481	what cause blood cancer	Direct Answer	Expert
CS_00482	tongue diseases symptoms	Direct Answer	Expert
CS_00483	after knee surgery care	Generic	Expert
CS_00484	abdominal pain when sitting	Generic	Expert
CS_00485	malignant neoplasm of kidney	Generic	Expert
CS_00486	normal blood count values	Direct Answer	Expert
CS_00487	tonsil removal surgery	Generic	Expert
CS_00488	red non itchy rash on legs	Generic	Expert
CS_00489	hepatitis vaccine series	Direct Answer	Expert
CS_00490	nervous bladder treatment	Guide	Expert
CS_00491	treatment for tachycardia	Guide	Expert
CS_00492	antrum mucosa erythematous	Generic	Expert
CS_00493	how to fix torn rotator cuff	Guide	Expert
CS_00494	gall bladder surgery pictures	Resource	Expert
CS_00495	urinozinc side effects	Direct Answer	Expert
CS_00496	blood pressure forms	Resource	Expert
CS_00497	lupus rash on legs pictures	Resource	General
CS_00498	what is hormones	Generic	Expert
CS_00499	edta keladine creme	Generic	Expert
CS_00500	lymph nodes prostate cancer	Generic	Expert
CS_00501	ganoderma lucidum and cancer	Generic	Expert
CS_00502	medical cpt codes list	Resource	General
CS_00503	what bugs look like bedbugs	Generic	Expert
CS_00504	crest syndrome images	Resource	Expert
CS_00505	inositol side effects	Direct Answer	Expert
CS_00506	free nec code book	Resource	General
CS_00507	polycystic ovarian syndrome	Generic	Expert
CS_00508	cervical spine c3 c4	Generic	Expert
CS_00509	when is blood pressure too high	Direct Answer	Expert
CS_00510	what is stroke symptoms	Direct Answer	Expert
CS_00511	best carpal tunnel surgeons	Direct Answer	Expert
CS_00512	reasons for a pacemaker	Generic	General
CS_00513	foods that cause candida	Direct Answer	Expert
CS_00514	scoliosis pain symptoms	Direct Answer	Expert
CS_00515	right foot swelling	Generic	Expert
CS_00516	l5 s1 pain	Direct Answer	Expert
CS_00517	high anxiety symptoms	Direct Answer	Expert
CS_00518	first symptoms of the flu	Direct Answer	Expert
CS_00519	leaky gut foods to eat	Generic	Expert
CS_00520	mouth ulcer pictures causes	Direct Answer	General
CS_00521	scalp yeast infection	Direct Answer	Expert
CS_00522	child concussion symptoms	Direct Answer	Expert
CS_00523	high c reactive protein	Generic	Expert
CS_00524	what is neglect	Generic	Expert
CS_00525	ablation treatment	Guide	Expert
CS_00526	how much do fillers cost	Transactional	Expert
CS_00527	witch hazel for hemorrhoids	Generic	Expert
CS_00528	shingles rash treatment	Guide	Expert
CS_00529	can a hernia cause diarrhea	Direct Answer	Expert
CS_00530	follow my health	Generic	Expert
CS_00531	symptoms of torn acl	Direct Answer	Expert
CS_00532	oxygen level chart	Resource	General
CS_00533	hepatitis c incubation period	Generic	Expert
CS_00534	edta chelation cream	Direct Answer	Expert
CS_00535	is honey good for acid reflux	Direct Answer	Expert
CS_00536	bleeding in the brain	Generic	Expert
CS_00537	how to do meditation	Guide	General
CS_00538	top lung transplant hospitals	Generic	Expert
CS_00539	nodules on spine	Generic	Expert
CS_00540	vinyl records worth	Generic	General
CS_00541	nervous breakdown treatment	Guide	Expert
CS_00542	mild lupus symptoms	Direct Answer	Expert
CS_00543	anaphylaxis pictures	Resource	General
CS_00544	diseases affecting the liver	Generic	Expert
CS_00545	retinal treatment	Guide	Expert
CS_00546	liposuction vs tummy tuck	Generic	Expert
CS_00547	thoracolumbar scoliosis	Generic	Expert
CS_00548	dangers of moringa	Direct Answer	Expert
CS_00549	t3 normal range levels	Direct Answer	Expert
CS_00550	cyst removal pictures	Resource	Expert
CS_00551	home remedies to kill mites	Direct Answer	Expert
CS_00552	how to relieve neuropathy	Guide	General
CS_00553	cystocele fallen bladder	Generic	Expert
CS_00554	foods that help tinnitus	Generic	Expert
CS_00555	bulbar palsy treatment	Guide	Expert
CS_00556	melanoma nose pictures	Resource	General
CS_00557	abdominal lymphoma	Generic	Expert
CS_00558	how to cure chlamydia	Guide	Expert
CS_00559	symptoms of dislocated hip	Direct Answer	Expert
CS_00560	symptoms of hernia pain	Direct Answer	Expert
CS_00561	left hand swelling	Generic	Expert
CS_00562	men health clinic	Generic	General
CS_00563	best dry cough suppressant	Direct Answer	Expert
CS_00564	best treatment for jock itch	Guide	Expert
CS_00565	good diabetic meals	Generic	Expert
CS_00566	pictures of heel spurs	Resource	General
CS_00567	foot and leg swelling	Generic	Expert
CS_00568	ringworm causes and cures	Direct Answer	Expert
CS_00569	cures for pancreatitis	Direct Answer	Expert
CS_00570	how to get braces	Guide	Expert
CS_00571	autism statistics by state	Direct Answer	Expert
CS_00572	xylitol side effects in humans	Direct Answer	Expert
CS_00573	how to prevent boils	Guide	Expert
CS_00574	what mouth cancer looks like	Direct Answer	Expert
CS_00575	diagnosis code v58 69	Direct Answer	Expert
CS_00576	c pack breathing machine	Generic	Expert
CS_00577	cause of viral infection	Direct Answer	Expert
CS_00578	cellulitis foot pictures	Resource	General
CS_00579	important facts about bullying	Generic	Expert
CS_00580	transverse myelitis prognosis	Generic	Expert
CS_00581	groin aneurysm symptoms	Direct Answer	Expert
CS_00582	uvula cancer pictures	Resource	General
