CS_ID		Keyword	Intent_1	Authority
CS_00078		probiotics adverse effects	Direct Answer	Expert
CS_00079		cholecalciferol side effects	Direct Answer	Expert
CS_00080		candida fungus symptoms	Direct Answer	Expert
CS_00081		what is ileitis	Generic	Expert
CS_00082		what is radon used for	Generic	Expert
CS_00083		bartholin cyst image	Resource	General
CS_00084		cystoscopy female	Generic	Expert
CS_00085		side effects of domeboro	Direct Answer	Expert
CS_00086		gout in the knee symptoms	Direct Answer	Expert
CS_00087		erosive lichen planus	Generic	Expert
CS_00088		normal cpk levels	Direct Answer	Expert
CS_00089		lesions of the skin	Generic	Expert
CS_00090		psychiatric nursing positions	Direct Answer	Expert
CS_00091		diet for people with colitis	Direct Answer	Expert
CS_00092		what causes fainting spells	Direct Answer	Expert
CS_00093		high blood potassium	Generic	Expert
CS_00094		melanoma on nose	Generic	Expert
CS_00095		invisalign side effects	Direct Answer	Expert
CS_00096		leg pain thigh front	Generic	Expert
CS_00097		child's heart rate	Direct Answer	Expert
CS_00098		causes of prostrate cancer	Direct Answer	Expert
CS_00099		soursop cancer cure	Guide	Expert
CS_00100		what causes painful feet	Direct Answer	Expert
CS_00101		cancer melanoma life expectancy	Direct Answer	Expert
CS_00102		test for parkinsons	Generic	Expert
CS_00103		stage 4 sarcoma cancer	Generic	Expert
CS_00104		what are symptoms of ulcer	Direct Answer	Expert
CS_00105		blood tests for lung cancer	Generic	Expert
CS_00106		oral rehydration solution	Direct Answer	Expert
CS_00107		foods to avoid with cancer	Generic	Expert
CS_00108		helicobacter pylori	Generic	Expert
CS_00109		what is apostille	Generic	General
CS_00110		old albums value	Transactional	General
CS_00111		signs of dying	Generic	Expert
CS_00112		shingles and rash	Generic	Expert
CS_00113		exercises after back surgery	Direct Answer	Expert
CS_00114		images of stroke victims	Resource	Expert
CS_00115		free medical information	Generic	General
CS_00116		foot mouth disease in children	Generic	Expert
CS_00117		what could cause bone pain	Direct Answer	Expert
CS_00118		after treatment of scabies	Direct Answer	Expert
CS_00119		white blister in mouth	Generic	Expert
CS_00120		medical office hours	Generic	General
CS_00121		tendonitis in heel of foot	Generic	Expert
CS_00122		benfotiamine vs thiamine	Generic	Expert
CS_00123		squamous cell tumor	Generic	Expert
CS_00124		pictures of myasthenia gravis	Resource	General
CS_00125		nose piercing places	Generic	Expert
CS_00126		names of cancers	Generic	Expert
CS_00127		sand fleas pictures	Resource	General
CS_00128		miracle ear reviews	Generic	General
CS_00129		rhesus negative blood type	Generic	Expert
CS_00130		what is thrash	Generic	Expert
CS_00131		blood test clinics	Direct Answer	Expert
CS_00132		staphylococcus infection	Generic	Expert
CS_00133		online support groups	Generic	General
CS_00134		remotes instructions for	Generic	General
CS_00135		home remedies for insomnia	Guide	Expert
CS_00136		baker cyst back knee	Generic	Expert
CS_00137		does ibs cause nausea	Direct Answer	Expert
CS_00138		parotitis picture	Resource	Expert
CS_00139		effects of war	Generic	General
CS_00140		causes of red hands	Direct Answer	Expert
CS_00141		who prescribes qsymia	Direct Answer	Expert
CS_00142		niacin for high cholesterol	Generic	Expert
CS_00143		mentally challenged adults	Generic	Expert
CS_00144		hep c treatment cost	Transactional	Expert
CS_00145		pain in mastoid bone	Direct Answer	Expert
CS_00146		edema symptoms	Direct Answer	Expert
CS_00147		parkinson's causes	Direct Answer	Expert
CS_00148		rhumatoid arthritis symptoms	Direct Answer	Expert
CS_00149		mouth sores	Generic	Expert
CS_00150		american diabetes foundation	Navigational	General
CS_00151		carotid stenosis	Generic	Expert
CS_00152		brain diseases in children	Generic	Expert
CS_00153		army sop template	Direct Answer	Expert
CS_00154		bone cancer leg symptoms	Direct Answer	Expert
CS_00155		what is diphtheria disease	Generic	Expert
CS_00156		benign hyperplastic polyps	Generic	Expert
CS_00157		how long shingles rash last	Direct Answer	Expert
CS_00158		mold spores symptoms	Direct Answer	Expert
CS_00159		causes of bladder retention	Direct Answer	Expert
CS_00160		after bowel resection	Generic	Expert
CS_00161		clinic my chart	Resource	General
CS_00162		normal mcv levels	Generic	Expert
CS_00163		what is nopalea	Generic	Expert
CS_00164		bile duct blockage	Generic	Expert
CS_00165		the whipple surgery	Direct Answer	Expert
CS_00166		how to kill dust mites on skin	Guide	Expert
CS_00167		mitral valve surgery risks	Direct Answer	Expert
CS_00168		alcohol and colitis	Generic	Expert
CS_00169		side effects of colon cleanse	Direct Answer	Expert
CS_00170		low hemoglobin effects	Direct Answer	Expert
CS_00171		veterinary consent forms	Resource	General
CS_00172		what is apert syndrome	Generic	Expert
CS_00173		sharp pain in hands	Generic	Expert
CS_00174		peanut oil for arthritis	Generic	General
CS_00175		kinds of bed bugs	Generic	Expert
CS_00176		thyroid tumors	Generic	Expert
CS_00177		types of irregular heartbeats	Direct Answer	Expert
CS_00178		dr malpractice	Generic	General
CS_00179		normal serum ige levels	Direct Answer	Expert
CS_00180		after chemo treatment	Guide	Expert
CS_00181		serrapeptase dangers	Direct Answer	Expert
CS_00182		medichoice products	Generic	General
CS_00183		what is bipolar 3	Generic	Expert
CS_00184		heart bundle blockage	Generic	Expert
CS_00185		causes belly fat in women	Direct Answer	Expert
CS_00186		types of fuses	Direct Answer	Expert
CS_00187		why does my tailbone hurt	Generic	Expert
CS_00188		leg stent surgery	Generic	Expert
CS_00189		what is enzymes in the body	Generic	Expert
CS_00190		low in potassium side effects	Direct Answer	Expert
CS_00191		ca proposition 65 warning	Generic	Expert
CS_00192		ulcer symptoms women	Direct Answer	Expert
CS_00193		laryngitis treatment fast	Guide	Expert
CS_00194		macular dystrophy treatment	Guide	Expert
CS_00195		numb or tingling right arm	Generic	Expert
CS_00196		what is absence seizure	Generic	Expert
CS_00197		find autopsy reports	Generic	General
CS_00198		ovarian cyst menopause	Generic	Expert
CS_00199		staff infection in blood	Generic	Expert
CS_00200		thyroid and heart palpitations	Generic	Expert
CS_00201		medical answers to symptoms	Generic	Expert
CS_00202		blood sugar drop symptoms	Direct Answer	Expert
CS_00203		coq10 and cholesterol	Generic	Expert
CS_00204		average life span	Generic	General
CS_00205		interstim neurostimulator	Direct Answer	Expert
CS_00206		the poverty line	Generic	General
CS_00207		feeling full all the time	Generic	Expert
CS_00208		band aid first aid	Generic	Expert
CS_00209		immunization pros and cons	Direct Answer	Expert
CS_00210		concussion effects	Direct Answer	Expert
CS_00211		low platelets and fatigue	Generic	Expert
CS_00212		what is calcium malate	Generic	Expert
CS_00213		side effects of ct scan	Direct Answer	Expert
CS_00214		webmd high blood pressure	Generic	Expert
CS_00215		choline side effects	Direct Answer	Expert
CS_00216		what causes phlebitis	Direct Answer	Expert
CS_00217		what is tourette's syndrome	Generic	Expert
CS_00218		thoracic spine fractures	Generic	Expert
CS_00219		treatment for meningitis	Direct Answer	Expert
CS_00220		last stages hepatitis c	Generic	Expert
CS_00221		signs of hyperglycemia	Direct Answer	Expert
CS_00222		hypogonadism pictures	Resource	Expert
CS_00223		vaccinations for mexico	Generic	General
CS_00224		side effects pacemaker	Direct Answer	Expert
CS_00225		is heart disease hereditary	Generic	Expert
CS_00226		from rheumatoid arthritis	Generic	Expert
CS_00227		bad heartburn symptoms	Direct Answer	Expert
CS_00228		glioblastoma statistics	Generic	General
CS_00229		heart stem cell treatment	Guide	Expert
CS_00230		barometric pressure scale	Direct Answer	General
CS_00231		irregular bowel movements	Generic	Expert
CS_00232		the cause of kidney stones	Direct Answer	Expert
CS_00233		lyme western blot test	Generic	Expert
CS_00234		assistive walking devices	Generic	Expert
CS_00235		zynga support questions	Navigational	General
CS_00236		jaw ache heart attack	Direct Answer	Expert
CS_00237		personal health record forms	Resource	General
CS_00238		medical term unremarkable	Generic	Expert
CS_00239		cornea transplant recovery	Direct Answer	Expert
CS_00240		what is hormone therapy	Generic	Expert
CS_00241		injection needles	Direct Answer	General
CS_00242		what are red dots on skin	Generic	Expert
CS_00243		keratosis eye disease	Generic	Expert
CS_00244		needs of the elderly	Generic	General
CS_00245		cdc flu vaccine fact sheet	Resource	Expert
CS_00246		best cure for stomach flu	Direct Answer	Expert
CS_00247		sharp ear pain in adults	Generic	Expert
CS_00248		torn meniscus treatment	Guide	Expert
CS_00249		types of arthritis in feet	Direct Answer	Expert
CS_00250		sinus bone infection	Generic	Expert
CS_00251		involuntary head movement	Generic	Expert
CS_00252		cure for burning in feet	Guide	Expert
CS_00253		stages of melanoma	Generic	Expert
CS_00254		complex ptsd symptoms	Direct Answer	Expert
CS_00255		how can you get hepatitis	Direct Answer	Expert
CS_00256		what is a pneumonia	Generic	Expert
CS_00257		value of old beatles albums	Transactional	General
CS_00258		pain in the lower back	Generic	Expert
CS_00259		pancreas cleansing diet	Guide	Expert
CS_00260		sign and symptom of flu	Direct Answer	Expert
CS_00261		chronic vomiting syndrome	Generic	Expert
CS_00262		alcohol liver function test	Generic	Expert
CS_00263		stenosis surgery recovery time	Direct Answer	Expert
CS_00264		shingles rash picture	Resource	Expert
CS_00265		what is heart murmur in adults	Generic	General
CS_00266		cataract after surgery	Generic	Expert
CS_00267		slightly elevated liver	Direct Answer	Expert
CS_00268		seizures natural remedies	Guide	Expert
CS_00269		bladder pressure test	Generic	Expert
CS_00270		how to treat back pain	Guide	Expert
CS_00271		what is ayurvedic	Generic	Expert
CS_00272		throat abscess symptoms	Direct Answer	Expert
CS_00273		indigestion chest pain	Generic	Expert
CS_00274		chest pain diagnosis	Direct Answer	Expert
CS_00275		sleep apnea doctor	Generic	General
CS_00276		what is avm	Generic	Expert
CS_00277		oncology surgeons	Direct Answer	General
CS_00278		what is west nile disease	Generic	Expert
CS_00279		renal cancer life expectancy	Generic	Expert
CS_00280		progress notes form	Resource	Expert
CS_00281		renal diabetic menu	Direct Answer	Expert
CS_00282		suprapubic catheter	Generic	Expert
CS_00283		contact cash money records	Generic	General
CS_00284		costco pharmacy cost	Transactional	Expert
CS_00285		hand psoriasis	Generic	Expert
CS_00286		vaginal polyps symptoms	Direct Answer	Expert
CS_00287		what is cetirizine 10mg	Generic	Expert
CS_00288		signs of gum infection	Direct Answer	Expert
CS_00289		zenker diverticulum surgery	Generic	Expert
CS_00290		vulvar cancer symptoms pictures	Resource	Expert
CS_00291		tdap consent form	Resource	Expert
CS_00292		hurting on right side	Generic	Expert
CS_00293		bone marrow	Generic	Expert
CS_00294		side effects of low tsh levels	Direct Answer	Expert
CS_00295		standard blood pressure chart	Resource	Expert
CS_00296		back injuries at work	Generic	Expert
CS_00297		alt blood test low levels	Generic	Expert
CS_00298		signs of thyroid storm	Direct Answer	Expert
CS_00299		how to test ph balance	Guide	Expert
CS_00300		skin cancer images on scalp	Resource	Expert
CS_00301		doctor of osteopathy	Generic	Expert
CS_00302		dot sleep apnea regulations	Direct Answer	Expert
CS_00303		cardiovascular doctor	Generic	Expert
CS_00304		sharp pain in feet	Generic	Expert
CS_00305		shock wave lithotripsy	Generic	Expert
CS_00306		list of cold medicines	Direct Answer	Expert
CS_00307		karate levels	Generic	Expert
CS_00308		shingles skin rash pictures	Resource	Expert
CS_00309		medical pictures free	Resource	General
CS_00310		eye pain and stroke	Generic	Expert
CS_00311		how to test for h pylori	Direct Answer	Expert
CS_00312		bladder bleeding treatment	Guide	Expert
CS_00313		chronic lyme disease	Generic	Expert
CS_00314		melanoma of the lip pictures	Resource	General
CS_00315		creatinine elevated	Generic	Expert
CS_00316		itchy scalp causes	Direct Answer	Expert
CS_00317		calcaneal spur causes	Direct Answer	Expert
CS_00318		pancreas cancer	Generic	Expert
CS_00319		evening snacks for diabetics	Direct Answer	Expert
CS_00320		what is squamous cancer	Generic	Expert
CS_00321		numb hands at night	Generic	Expert
CS_00322		side effects of zyrtec	Direct Answer	Expert
CS_00323		images of foot fungus	Resource	General
CS_00324		signs of concussion in adults	Direct Answer	Expert
CS_00325		female groin pain left side	Generic	Expert
CS_00326		skin cirrhosis pictures	Resource	Expert
CS_00327		is my blood pressure high	Generic	Expert
CS_00328		what can cause gout	Direct Answer	Expert
CS_00329		black around eyes	Generic	Expert
CS_00330		what foods contain purines	Direct Answer	Expert
CS_00331		behavioral health cpt codes	Direct Answer	Expert
CS_00332		location of liver in body	Direct Answer	Expert
CS_00333		stress cardiomyopathy	Generic	Expert
CS_00334		ibuprofen and heart disease	Generic	Expert
CS_00335		signs symptoms gout	Direct Answer	Expert
CS_00336		childhood ptsd symptoms	Direct Answer	Expert
CS_00337		cutaneous lymphoma	Generic	Expert
CS_00338		sociopathic behaviour	Generic	Expert
CS_00339		leg pain when touched	Generic	Expert
CS_00340		vision center hours	Direct Answer	General
CS_00341		allergic reaction what to do	Generic	Expert
CS_00342		are ringworms contagious	Direct Answer	Expert
CS_00343		what is fragile x	Generic	Expert
CS_00344		natural hormone replacement	Generic	Expert
CS_00345		ask dermatologist online free	Generic	General
CS_00346		chinese medical doctor	Direct Answer	General
CS_00347		cervical spine mri images	Resource	General
CS_00348		glaucoma is caused by	Direct Answer	Expert
CS_00349		swollen knee remedies	Generic	Expert
CS_00350		patient survey questionnaire	Generic	Expert
CS_00351		how to sue a hospital	Generic	Expert
CS_00352		side effects of sinus surgery	Direct Answer	Expert
CS_00353		body armor levels	Generic	Expert
CS_00354		natural beta blockers	Direct Answer	Expert
CS_00355		atypical trigeminal neuralgia	Generic	Expert
CS_00356		micro colitis symptoms	Direct Answer	Expert
CS_00357		facts about physical abuse	Generic	Expert
CS_00358		uterine cancer spread	Generic	Expert
CS_00359		radio frequency therapy	Generic	Expert
CS_00360		vegas personals	Generic	General
CS_00361		poison oak poison ivy	Generic	Expert
CS_00362		too much iron in your blood	Generic	Expert
CS_00363		what is atherosclerotic disease	Generic	Expert
CS_00364		pterygium removal	Direct Answer	Expert
CS_00365		pre diabetes diet	Guide	Expert
CS_00366		sleep apnea natural cures	Guide	Expert
CS_00367		online test for anxiety	Direct Answer	Expert
CS_00368		severe cervical spondylosis	Generic	Expert
CS_00369		osteoporosis and leg pain	Generic	Expert
CS_00370		why am i dizzy	Direct Answer	Expert
CS_00371		what is an adenoid	Generic	Expert
CS_00372		causes of itching	Direct Answer	Expert
CS_00373		dizziness ringing in ears	Generic	Expert
CS_00374		coq10 400mg side effects	Direct Answer	Expert
CS_00375		gyne lotrimin cream	Direct Answer	Expert
CS_00376		facts about discrimination	Generic	General
CS_00377		what foods not to eat with gout	Generic	Expert
CS_00378		nursing practice	Generic	Expert
CS_00379		natural remedies for ibs	Guide	Expert
CS_00380		what causes uterine cancer	Direct Answer	Expert
CS_00381		laboratory services	Generic	Expert
CS_00382		precancerous skin spots	Generic	Expert
CS_00383		numb and tingly hands	Generic	Expert
CS_00384		shingles on lips pictures	Resource	Expert
CS_00385		what is mediterranean fever	Generic	Expert
CS_00386		what helps hot flashes	Direct Answer	Expert
CS_00387		non hodgkin disease	Generic	Expert
CS_00388		eccn classification list	Resource	General
CS_00389		thoracic spine lesion	Generic	Expert
CS_00390		left sided head numbness	Direct Answer	Expert
CS_00391		multiple sclerosis chat	Generic	General
CS_00392		treatment after surgery	Direct Answer	Expert
CS_00393		swollen lymph nodes elbow	Generic	Expert
CS_00394		bed bugs what causes them	Direct Answer	Expert
CS_00395		what is nstemi	Generic	Expert
CS_00396		dementia quiz	Direct Answer	Expert
CS_00397		deep bruise treatment	Guide	Expert
CS_00398		what causes peeling hands	Direct Answer	Expert
CS_00399		varicose veins complications	Generic	Expert
CS_00400		hemp oil dosage	Direct Answer	Expert
CS_00401		what can i do for hives	Guide	Expert
CS_00402		burning sensation in thighs	Generic	Expert
CS_00403		broken shoulder surgery	Generic	Expert
CS_00404		cancer caused by alcohol	Direct Answer	Expert
CS_00405		sarcoma is cancer of	Generic	Expert
CS_00406		stage three uterine cancer	Generic	Expert
CS_00407		side effects of zyrtec d	Direct Answer	Expert
CS_00408		causes of sleep deprivation	Direct Answer	Expert
CS_00409		burning mouth and lips	Generic	Expert
CS_00410		treatment for cyst	Guide	Expert
CS_00411		diet for gerd patients	Generic	Expert
CS_00412		independent grocers	Generic	Expert
CS_00413		dermatofibroma pictures	Resource	Expert
CS_00414		homeopathic cures	Guide	Expert
CS_00415		sharp pain right side	Generic	Expert
CS_00416		meaning of mucus color	Generic	General
CS_00417		imodium dosage for kids	Direct Answer	Expert
CS_00418		ct scan of the head	Generic	Expert
CS_00419		ra factor blood test	Direct Answer	Expert
CS_00420		how to find a kidney donor	Guide	Expert
CS_00421		sleep apnea surgery cost	Transactional	General
CS_00422		domestic violence information	Generic	General
CS_00423		heart disease support groups	Navigational	General
CS_00424		prostate pain symptoms	Direct Answer	Expert
CS_00425		types of injuries	Direct Answer	General
CS_00426		survival rate bladder cancer	Direct Answer	Expert
CS_00427		blood test alt high	Generic	Expert
CS_00428		fluid seeping from legs	Generic	Expert
CS_00429		foods for kidney disease	Direct Answer	Expert
CS_00430		patchy hair loss	Generic	Expert
CS_00431		bladder problems	Generic	Expert
CS_00432		what causes ringing of the ears	Direct Answer	Expert
CS_00433		what is croup in adults	Generic	Expert
CS_00434		lower intestine pain	Generic	Expert
CS_00435		colitis information	Generic	Expert
CS_00436		stem cell hip treatment	Direct Answer	Expert
CS_00437		eecp locations	Direct Answer	Expert
CS_00438		myelodysplasia causes	Direct Answer	Expert
CS_00439		biopsy of cervix side effects	Direct Answer	Expert
CS_00440		phlegm in throat causes	Direct Answer	Expert
CS_00441		autism advocates	Generic	Expert
CS_00442		free guided imagery scripts	Generic	General
CS_00443		ankle bone spur surgery	Generic	Expert
CS_00444		what is the symptoms of cancer	Direct Answer	Expert
CS_00445		after lower back surgery	Generic	Expert
CS_00446		colon test	Generic	Expert
CS_00447		endometriosis and cancer	Generic	Expert
CS_00448		st mary s hospital doctors	Generic	General
CS_00449		hemorrhoid removal	Generic	Expert
CS_00450		lice eggs images	Resource	General
CS_00451		glioma brain tumor prognosis	Generic	Expert
CS_00452		vasculitis disease	Generic	Expert
CS_00453		prostate blood test psa	Generic	Expert
CS_00454		immunization record chart	Resource	General
CS_00455		stabbing pain in lower leg	Generic	Expert
CS_00456		getting rid of fluid in ear	Generic	Expert
CS_00457		bed sores on buttocks photos	Resource	General
CS_00458		get birth certificate	Guide	General
CS_00459		what is geriatrics	Generic	General
CS_00460		pics of hiv symptoms	Resource	General
CS_00461		anxitane for dogs side effects	Direct Answer	Expert
CS_00462		paronychia pictures	Resource	Expert
CS_00463		help for muscle spasms	Generic	Expert
CS_00464		meld score prognosis	Direct Answer	Expert
CS_00465		dry throat symptom	Direct Answer	Expert
CS_00466		list of hospitals in texas	Generic	General
CS_00467		acute stroke treatment	Direct Answer	Expert
CS_00468		als disease pictures	Resource	General
CS_00469		colonoscopy food	Generic	Expert
CS_00470		the symptoms of emphysema	Direct Answer	Expert
CS_00471		providence hospital address	Navigational	General
CS_00472		free doctor advice	Generic	General
CS_00473		surgery for rectocele	Generic	Expert
CS_00474		medical exemption form	Resource	General
CS_00475		ophthalmic eye drops list	Direct Answer	Expert
CS_00476		antibiotic ointment for boils	Direct Answer	Expert
CS_00477		images of colon polyps	Resource	General
CS_00478		medical information online	Generic	General
CS_00479		swollen stomach symptoms	Direct Answer	Expert
CS_00480		bloated distended abdomen	Generic	Expert
CS_00481		best treatment for pcos	Guide	Expert
CS_00482		reading methods	Generic	Expert
CS_00483		rash on right side of body	Generic	Expert
CS_00484		what is venous thrombosis	Generic	Expert
CS_00485		shoulder pain while sleeping	Generic	Expert
CS_00486		night tremors	Generic	Expert
CS_00487		feet swelling reasons	Direct Answer	Expert
CS_00488		medical lab results	Generic	Expert
CS_00489		judgement record	Generic	Expert
CS_00490		cardiac troponin level	Generic	Expert
CS_00491		gel knee injections arthritis	Generic	Expert
CS_00492		tens pad placement	Direct Answer	Expert
CS_00493		enzyte side effects	Direct Answer	Expert
CS_00494		cold versus flu symptoms	Direct Answer	Expert
CS_00495		symptoms after a colposcopy	Direct Answer	Expert
CS_00496		doctors in 1800s	Generic	General
CS_00497		does anxiety cause dry mouth	Direct Answer	Expert
CS_00498		tb positive test picture	Resource	Expert
CS_00499		milk sensitivity symptoms	Direct Answer	Expert
CS_00500		best cure for nail fungus	Direct Answer	Expert
CS_00501		pain symptoms	Direct Answer	Expert
CS_00502		pictures of shin splints	Resource	Expert
CS_00503		create your own level	Generic	Expert
CS_00504		best for motion sickness	Direct Answer	Expert
CS_00505		nodular lymphoma	Generic	Expert
CS_00506		what causes silverfish	Direct Answer	Expert
CS_00507		pth intact and calcium	Generic	Expert
CS_00508		super glue dentures	Generic	Expert
CS_00509		esophagus ulcer diet	Guide	Expert
CS_00510		cognitive memory impairment	Generic	General
CS_00511		heart ultrasound cost	Transactional	General
CS_00512		dizziness heart attack	Generic	Expert
CS_00513		what is medical liability	Generic	Expert
CS_00514		foot surgeons	Direct Answer	Expert
CS_00515		what is a upper gi	Generic	Expert
CS_00516		facts about depression	Generic	Expert
CS_00517		cpt code for tracheostomy	Generic	Expert
CS_00518		chanca piedra kidney stones	Direct Answer	Expert
CS_00519		rash on forehead	Generic	Expert
CS_00520		abington hospital abington pa	Generic	General
CS_00521		ablation complications	Generic	Expert
CS_00522		miers disease	Generic	Expert
CS_00523		c5 6 herniated disc	Generic	Expert
CS_00524		palate cancer	Generic	Expert
CS_00525		how painful are kidney stones	Generic	Expert
CS_00526		diabetic food guide list	Generic	Expert
CS_00527		does wine cause gout	Direct Answer	Expert
CS_00528		holistic cures	Resource	Expert
CS_00529		what is sprue	Generic	Expert
CS_00530		narcissism test	Generic	Expert
CS_00531		dtp vaccine side effects	Direct Answer	Expert
CS_00532		rare sarcoma cancer	Generic	Expert
CS_00533		mercury fillings side effects	Direct Answer	Expert
CS_00534		nose bleed causes in adults	Direct Answer	Expert
CS_00535		ptsd activities	Direct Answer	Expert
CS_00536		stomach problem symptoms	Direct Answer	Expert
CS_00537		neck specialist	Generic	General
CS_00538		what causes mold in homes	Direct Answer	General
CS_00539		tinnitus in left ear	Generic	Expert
CS_00540		meningitis in the brain	Generic	Expert
CS_00541		define verbal abuse	Generic	General
CS_00542		bladder cancer removal	Generic	Expert
CS_00543		eye cataract removal	Generic	Expert
CS_00544		top hernia surgeons	Generic	Expert
CS_00545		what are some diseases	Generic	Expert
CS_00546		relief for dry mouth	Generic	Expert
CS_00547		skin rash from allergies	Generic	Expert
CS_00548		early symptoms fibromyalgia	Direct Answer	Expert
CS_00549		postmenopausal bleeding	Generic	Expert
CS_00550		eye lesions pictures	Resource	General
CS_00551		stage 5 colon cancer	Generic	Expert
CS_00552		how long does tinnitus last	Direct Answer	Expert
CS_00553		irregular heartbeat at night	Generic	Expert
CS_00554		best cream for muscle pain	Direct Answer	Opinion
CS_00555		headaches front of head	Generic	Expert
CS_00556		what is bee propolis used for	Generic	Expert
CS_00557		itching corner of eye	Generic	Expert
CS_00558		what is parsley good for	Direct Answer	General
CS_00559		floating rib symptoms	Direct Answer	Expert
CS_00560		stage 4 cancer	Generic	Expert
CS_00561		what is positive thinking	Generic	General
CS_00562		does arthritis go away	Generic	Expert
CS_00563		doppler test for carotid artery	Generic	Expert
CS_00564		electric stimulators	Generic	Expert
CS_00565		remedies for hiccups	Guide	Expert
CS_00566		fractured shoulder	Generic	Expert
CS_00567		best cough remedy for kids	Guide	Expert
CS_00568		neoplasm of liver	Generic	Expert
CS_00569		zero pain frankie avalon	Generic	Expert
CS_00570		renal insufficiency causes	Direct Answer	Expert
CS_00571		stage 4a cancer	Generic	Expert
CS_00572		probiotics and mucus in stool	Generic	Expert
CS_00573		stabbing pain in knee cap	Generic	Expert
CS_00574		cyst on head symptoms	Direct Answer	Expert
CS_00575		what to do for strep throat	Guide	Expert
CS_00576		what is nephrotic syndrome	Generic	Expert
CS_00577		webmd health	Navigational	General
CS_00578		adult depression symptoms	Direct Answer	Expert
CS_00579		healthy food for prediabetes	Direct Answer	Expert
CS_00580		what body shape am i quiz	Generic	General
CS_00581		healing miracles	Generic	General
CS_00582		female urinary tract infection	Generic	Expert
CS_00583		ear wax removal olive oil	Generic	Expert
CS_00584		high protime levels	Generic	Expert
CS_00585		guidelines for tube feeding	Direct Answer	Expert
CS_00586		endoscopy stomach biopsy	Generic	Expert
CS_00587		fennel tea side effects	Direct Answer	General
CS_00588		ringworm bleach treatment	Guide	Expert
CS_00589		good for blood circulation	Direct Answer	Expert
