CS_ID	Keyword_ID	Keyword	Intent_1	Authority
CS_00057		what is nurse practitioner	Generic	General
CS_00058		aneurysm in stomach	Generic	Expert
CS_00059		wasp sting swelling remedy	Guide	Expert
CS_00060		health care proxy form	Resource	General
CS_00061		diverticulitis in sigmoid colon	Generic	Expert
CS_00062		what is infusion treatment	Generic	Expert
CS_00063		the gerd diet	Direct Answer	Expert
CS_00064		diarrhea remedy	Guide	Expert
CS_00065		hemorrhoid pics	Resource	General
CS_00066		mucus from rectum	Generic	Expert
CS_00067		how to treat shingles pain	Guide	Expert
CS_00068		zinc poisoning symptoms	Direct Answer	Expert
CS_00069		what to do for numb toes	Guide	Expert
CS_00070		beck anxiety inventory test	Generic	Expert
CS_00071		duties of a nurse practitioner	Generic	Expert
CS_00072		boost white blood cells	Guide	Expert
CS_00073		home remedy for pinworms	Direct Answer	Expert
CS_00074		nmfc number	Generic	General
CS_00075		medical journal articles	Generic	General
CS_00076		treatment of inflammation	Direct Answer	Expert
CS_00077		anemia symptoms in women	Direct Answer	Expert
CS_00078		rotten egg odor in well water	Generic	Expert
CS_00079		side effects of bcg treatment	Direct Answer	Expert
CS_00080		what foods have gluten	Direct Answer	Expert
CS_00081		what causes foot corns	Direct Answer	Expert
CS_00082		age when menopause starts	Generic	Expert
CS_00083		pictures of stomach cancer	Resource	Expert
CS_00084		how to cure stomach ulcer	Guide	Expert
CS_00085		enlarged prostate surgery	Generic	Expert
CS_00086		adult dosage ibuprofen	Direct Answer	Expert
CS_00087		vaccinations for south africa	Generic	Expert
CS_00088		bad gallbladder foods	Direct Answer	Expert
CS_00089		what are the grieving stages	Direct Answer	Expert
CS_00090		pain in left side of my jaw	Generic	Expert
CS_00091		what causes canker sores	Direct Answer	Expert
CS_00092		what is a hammertoe	Generic	Expert
CS_00093		stages of rigor mortis	Direct Answer	Expert
CS_00094		what is a stroke	Generic	Expert
CS_00095		what is a tetanus shot	Generic	Expert
CS_00096		symptons of heart problems	Direct Answer	Expert
CS_00097		what is a slipped disc	Generic	Expert
CS_00098		my va health gov	Navigational	General
CS_00099		h i v information	Generic	General
CS_00100		cll life expectancy	Direct Answer	Expert
CS_00101		cure for the hiccups	Direct Answer	Expert
CS_00102		what is bilirubin	Generic	Expert
CS_00103		eye infection home treatment	Guide	Expert
CS_00104		glaucoma laser treatment	Direct Answer	Expert
CS_00105		what causes ringing ears	Direct Answer	Expert
CS_00106		diabetic what not to eat	Direct Answer	Expert
CS_00107		how to prevent leg cramps	Guide	Expert
CS_00108		pics of mouth sores	Resource	General
CS_00109		narcissistic personality signs	Direct Answer	Expert
CS_00110		mycosis fungoides photos	Resource	General
CS_00111		what is migraine aura	Generic	Expert
CS_00112		metamucil dosage	Direct Answer	Expert
CS_00113		mid back pain right side	Generic	Expert
CS_00114		vulvar melanoma pictures	Resource	General
CS_00115		is my blood pressure too low	Direct Answer	Expert
CS_00116		kidney disease diet	Direct Answer	Expert
CS_00117		what is mgus	Generic	Expert
CS_00118		gastritis foods to eat	Direct Answer	Expert
CS_00119		blood pressure and pulse	Generic	Expert
CS_00120		cystoscopy side effects	Direct Answer	Expert
CS_00121		cause of pain in thigh	Direct Answer	Expert
CS_00122		free cpt code search	Navigational	General
CS_00123		nascent iodine side effects	Direct Answer	Expert
CS_00124		cure for ringing in ears	Direct Answer	Expert
CS_00125		early signs of bell palsy	Direct Answer	Expert
CS_00126		cpt code prices	Transactional	General
CS_00127		childsupport payment history	Direct Answer	General
CS_00128		concussion online test free	Direct Answer	Expert
CS_00129		tongue cancer pics	Resource	General
CS_00130		tea tree oil uses for	Direct Answer	Expert
CS_00131		what is a pet scan	Direct Answer	General
CS_00132		hepatitis c genotype 1a	Generic	Expert
CS_00133		best allergy eye drops	Direct Answer	Expert
CS_00134		33 signs of menopause	Direct Answer	Expert
CS_00135		causes of vertigo attacks	Direct Answer	Expert
CS_00136		what is shingles pain	Generic	Expert
CS_00137		causes of head dizziness	Direct Answer	Expert
CS_00138		signs of high potassium	Direct Answer	Expert
CS_00139		hernia mesh recall	Direct Answer	Expert
CS_00140		elevated pancreatic enzymes	Generic	Expert
CS_00141		what is an echo stress test	Generic	Expert
CS_00142		back surgery fusion recovery	Direct Answer	Expert
CS_00143		average price of a nose job	Transactional	Expert
CS_00144		pictures of multiple sclerosis	Resource	General
CS_00145		pictures of vericose veins	Resource	General
CS_00146		d-dimer test normal range	Direct Answer	Expert
CS_00147		symptoms of sugar diabetes	Direct Answer	Expert
CS_00148		what is the sacroiliac joint	Generic	Expert
CS_00149		what is normal gfr level	Direct Answer	Expert
CS_00150		three stages of dementia	Direct Answer	Expert
CS_00151		early stages of leukemia	Generic	Expert
CS_00152		hepatitis c genotype 1	Generic	Expert
CS_00153		white cell blood count high	Generic	Expert
CS_00154		how much is a colonoscopy	Transactional	General
CS_00155		symptoms of asperger	Direct Answer	Expert
CS_00156		what is indigestion symptoms	Direct Answer	Expert
CS_00157		chronic sciatica symptoms	Direct Answer	Expert
CS_00158		how to stop diarrhea	Guide	Expert
CS_00159		cirrhosis skin rash pictures	Resource	General
CS_00160		stomach acid symptoms	Direct Answer	Expert
CS_00161		foods high phosphorus	Generic	Expert
CS_00162		antibiotic list	Direct Answer	Expert
CS_00163		myhumana online	Navigational	General
CS_00164		pulmonary symptoms	Direct Answer	Expert
CS_00165		images of hemorrhoids	Resource	Expert
CS_00166		syphilis symptoms	Direct Answer	Expert
CS_00167		liver cancer survival rate	Direct Answer	Expert
CS_00168		what is bowen therapy	Generic	General
CS_00169		magnesium is good for	Generic	Expert
CS_00170		muscle problems from statins	Direct Answer	Expert
CS_00171		gum disease home remedies	Guide	Expert
CS_00172		symptoms of cerebral palsy	Direct Answer	Expert
CS_00173		cancer of the spleen	Generic	Expert
CS_00174		what bed bugs look like	Resource	General
CS_00175		picture of swollen ankles	Resource	General
CS_00176		picture of the lung	Resource	General
CS_00177		astigmatism of the eye	Generic	Expert
CS_00178		facts about scarlet fever	Generic	Expert
CS_00179		first sign of cancer symptoms	Direct Answer	Expert
CS_00180		recovery after surgery	Generic	Expert
CS_00181		treatment for ovarian cysts	Guide	Expert
CS_00182		what is thoracic spondylosis	Generic	Expert
CS_00183		foods for leg cramps	Direct Answer	Expert
CS_00184		causes for heel pain	Direct Answer	Expert
CS_00185		foot pain diagnosis	Generic	Expert
CS_00186		what is a diabetic coma	Generic	Expert
CS_00187		njchildsupport case info	Generic	General
CS_00188		what is gaucher's disease	Generic	Expert
CS_00189		hot flashes and thyroid	Generic	Expert
CS_00190		low neutrophils	Generic	Expert
CS_00191		what is gastritis	Generic	Expert
CS_00192		facts about water pollution	Generic	General
CS_00193		what is stage 4 endometriosis	Generic	Expert
CS_00194		how to use black seed oil	Guide	General
CS_00195		symptoms of pre stroke	Direct Answer	Expert
CS_00196		cherries and gout treatment	Guide	Expert
CS_00197		closest urgent care to me	Direct Answer	General
CS_00198		walmart eyeglasses specials	Navigational	General
CS_00199		worst foods for diabetics	Direct Answer	Expert
CS_00200		when does menopause end	Direct Answer	Expert
CS_00201		symtoms of a mini stroke	Direct Answer	Expert
CS_00202		effects of high blood sugar	Direct Answer	Expert
CS_00203		what is a lesion on the brain	Generic	Expert
CS_00204		night snacks for diabetics	Direct Answer	Expert
CS_00205		why do hemorrhoids itch	Direct Answer	Expert
CS_00206		how to increase bone density	Guide	Expert
CS_00207		aloecure complaints	Generic	Expert
CS_00208		what is fsgs kidney disease	Generic	Expert
CS_00209		what is anaplastic astrocytoma	Generic	Expert
CS_00210		lung cancer x ray images	Resource	Expert
CS_00211		female hernia symptoms	Direct Answer	Expert
CS_00212		circular rash pictures	Resource	General
CS_00213		what is acetaminophen 500mg	Generic	Expert
CS_00214		what is huntingtons disease	Generic	Expert
CS_00215		myhealthcare va gov	Navigational	General
CS_00216		salmon and gout	Generic	Expert
CS_00217		natural remedies hot flashes	Direct Answer	Expert
CS_00218		bell's palsy symptoms	Direct Answer	Expert
CS_00219		what causes cold feet	Direct Answer	Expert
CS_00220		what is a muscular dystrophy	Generic	Expert
CS_00221		home remedies for diarrhea	Guide	Expert
CS_00222		list of pulmonary diseases	Direct Answer	Expert
CS_00223		what is kidney disease	Generic	General
CS_00224		morton's neuroma pictures	Resource	Expert
CS_00225		gum cancer symptoms	Direct Answer	Expert
CS_00226		sharp shooting pain in toe	Direct Answer	Expert
CS_00227		what causes high bilirubin	Direct Answer	Expert
CS_00228		slow heart rate causes	Direct Answer	Expert
CS_00229		how to get rid of bunions	Guide	Expert
CS_00230		how do you find bed bugs	Guide	Opinion
CS_00231		peripheral artery disease legs	Generic	Expert
CS_00232		diet sheet for gout	Resource	Expert
CS_00233		tums side effects	Direct Answer	Expert
CS_00234		concussion symptoms	Direct Answer	Expert
CS_00235		symptoms of uterine cysts	Direct Answer	Expert
CS_00236		what is nueropathy	Generic	Expert
CS_00237		what is ldh blood test	Generic	Expert
CS_00238		what is fatty liver symptoms	Generic	Expert
CS_00239		causes of leg numbness	Direct Answer	Expert
CS_00240		mouth infection treatment	Guide	Expert
CS_00241		what foods are gluten free	Generic	Expert
CS_00242		blurry vision after surgery	Generic	Expert
CS_00243		cause of muscle cramps	Direct Answer	Expert
CS_00244		exercises for bursitis in hip	Guide	Expert
CS_00245		list of live vaccines	Direct Answer	General
CS_00246		what to do for concussion	Guide	Expert
CS_00247		low phosphorus food list	Direct Answer	General
CS_00248		dulcolax side effects	Direct Answer	Expert
CS_00249		how to treat a head cold	Guide	Expert
CS_00250		what are symptoms of diabetes 2	Direct Answer	Expert
CS_00251		lower back pain left side	Generic	Expert
CS_00252		gluten symptoms	Direct Answer	Expert
CS_00253		troponin levels range	Direct Answer	Expert
CS_00254		dysphagia treatment	Direct Answer	Expert
CS_00255		natural cures for gallstones	Direct Answer	Expert
CS_00256		video of colonoscopy	Resource	Expert
CS_00257		ginseng root benefits	Direct Answer	Expert
CS_00258		lung transplant facts	Direct Answer	Expert
CS_00259		cardiac ablation surgery	Generic	Expert
CS_00260		hot flashes foods to avoid	Direct Answer	Expert
CS_00261		coconut oil alzheimer's study	Generic	Expert
CS_00262		flax seed side effects	Direct Answer	Expert
CS_00263		hepatic cyst causes	Direct Answer	Expert
CS_00264		mental health disorders list	Direct Answer	Expert
CS_00265		side effects of wobenzym n	Direct Answer	Expert
CS_00266		what causes the pink eye	Direct Answer	Expert
CS_00267		what is hernia in women	Generic	Expert
CS_00268		what is esophageal spasm	Generic	Expert
CS_00269		finger joint swelling	Generic	Expert
CS_00270		pictures of shingles virus	Resource	Expert
CS_00271		end stage chf symptoms	Direct Answer	Expert
CS_00272		psa results range	Direct Answer	Expert
CS_00273		shingles on scalp	Generic	Expert
CS_00274		patient online portal	Navigational	General
CS_00275		get rid of moles naturally	Guide	General
CS_00276		orthodontist reviews	Generic	Opinion
CS_00277		what is cystic fibrosis	Generic	Expert
CS_00278		malignant melanoma images	Resource	General
CS_00279		burning pain in toes	Generic	Expert
CS_00280		diabetic diet food list avoid	Direct Answer	Expert
CS_00281		what is facet syndrome	Generic	Expert
CS_00282		after radiation treatment	Guide	Expert
CS_00283		shingles in mouth symptoms	Direct Answer	Expert
CS_00284		remedies for gout in foot	Guide	Expert
CS_00285		systems of low potassium	Direct Answer	Expert
CS_00286		colon cancer and back pain	Generic	Expert
CS_00287		facet joint injection	Generic	Expert
CS_00288		early symptoms of leukemia	Direct Answer	Expert
CS_00289		staph infection symptoms	Direct Answer	Expert
CS_00290		hamstring pain treatment	Guide	Expert
CS_00291		depression test	Generic	Expert
CS_00292		lymph cancer survival rate	Direct Answer	Expert
CS_00293		surgery for abdominal hernia	Generic	Expert
CS_00294		normal range for potassium	Direct Answer	Expert
CS_00295		pet scan prices	Transactional	General
CS_00296		lung cancer symptoms in women	Direct Answer	Expert
CS_00297		what smh mean in text	Generic	Expert
CS_00298		what is a viral infection	Generic	Expert
CS_00299		underactive thyroid diet	Guide	Expert
CS_00300		kidney problems and itching	Generic	Expert
CS_00301		what causes spinal pain	Direct Answer	Expert
CS_00302		picture of a termite	Resource	General
CS_00303		left shoulder and arm pain	Generic	Expert
CS_00304		celiac skin rash pictures	Resource	General
CS_00305		contagious stage of shingles	Direct Answer	Expert
CS_00306		early signs of a stroke in men	Direct Answer	Expert
CS_00307		remedies for stomach ulcers	Direct Answer	Expert
CS_00308		statins and grapefruit	Generic	General
CS_00309		norwalk flu symptoms	Direct Answer	Expert
CS_00310		glucosamine msm side effects	Direct Answer	Expert
CS_00311		herbalife side effects	Direct Answer	Expert
CS_00312		causes of enlarged bile duct	Direct Answer	Expert
CS_00313		signs of stroke	Direct Answer	Expert
CS_00314		heel pain when walking	Generic	Expert
CS_00315		how do you catch c difficile	Direct Answer	Expert
CS_00316		police code meanings	Direct Answer	General
CS_00317		human body left side pain	Generic	Expert
CS_00318		seven stages of dementia	Direct Answer	Expert
CS_00319		free medical forms	Resource	General
CS_00320		what is wegener disease	Generic	Expert
CS_00321		dermoid pictures	Resource	Expert
CS_00322		advil cold & sinus ingredients	Direct Answer	General
CS_00323		radiation burns pictures	Resource	Expert
CS_00324		urodynamics procedure	Generic	Expert
CS_00325		causes of low blood iron	Direct Answer	Expert
CS_00326		about high blood pressure	Generic	Expert
CS_00327		labral tear hip surgery	Generic	Expert
CS_00328		gallbladder polyps symptoms	Direct Answer	Expert
CS_00329		doctor advice symptoms	Generic	Expert
CS_00330		home remedies for high bp	Guide	Expert
CS_00331		burning sensation in chest	Generic	Expert
CS_00332		vasculitis pictures	Resource	General
CS_00333		reasons for bad breath	Direct Answer	Expert
CS_00334		what is diastolic heart failure	Generic	Expert
CS_00335		blue emu side effects	Direct Answer	Expert
CS_00336		blood pressure for women	Generic	Expert
CS_00337		what is gout arthritis	Generic	Expert
CS_00338		ra factor normal range	Direct Answer	Expert
CS_00339		health care forms	Resource	General
CS_00340		what is alk phosphatase	Generic	Expert
CS_00341		actual picture of a bed bug	Resource	General
CS_00342		symptoms of chemo brain	Direct Answer	Expert
CS_00343		african mango side effects	Direct Answer	Expert
CS_00344		images of dental abscess	Resource	Expert
CS_00345		foods to eat to help arthritis	Generic	Expert
CS_00346		allergic reaction rash pics	Resource	Expert
CS_00347		remedies for muscle cramps	Guide	Expert
CS_00348		what causes dry throat	Direct Answer	Expert
CS_00349		high count of lymphocytes	Generic	Expert
CS_00350		main cause of dizziness	Direct Answer	Expert
CS_00351		what is serum glucose	Generic	General
CS_00352		what is atrial flutter	Direct Answer	Expert
CS_00353		oral cancer symptoms images	Resource	General
CS_00354		treat ear infection home	Guide	Opinion
CS_00355		what is rectal bleeding	Generic	Expert
CS_00356		cushing's disease pictures	Resource	Expert
CS_00357		what is dysthymia depression	Generic	Expert
CS_00358		remedies for urinary infection	Direct Answer	Expert
CS_00359		pictures of foot eczema	Resource	Expert
CS_00360		what are catheters used for	Direct Answer	Expert
CS_00361		how do you treat diverticulitis	Direct Answer	Expert
CS_00362		alcohol effects blood pressure	Generic	Expert
CS_00363		tubular adenoma polyp	Generic	Expert
CS_00364		hardening of heart muscle	Guide	Expert
CS_00365		cpt coding	Generic	Expert
CS_00366		probiotics and constipation	Generic	Expert
CS_00367		how long will i live	Direct Answer	
CS_00368		what causes bone spurs	Direct Answer	Expert
CS_00369		heart catherization procedure	Generic	Expert
CS_00370		what is a doppler test	Direct Answer	Expert
CS_00371		neck pain and headache	Generic	Expert
CS_00372		what foods stops diarrhea	Direct Answer	Expert
CS_00373		kidney tumor types	Direct Answer	Expert
CS_00374		what causes extra heartbeats	Direct Answer	Expert
CS_00375		purpura rash pictures	Resource	General
CS_00376		heart murmur treatment	Direct Answer	Expert
CS_00377		ear infection remedies	Guide	Expert
CS_00378		blood clots after surgery	Generic	Expert
CS_00379		low body temp causes	Direct Answer	Expert
CS_00380		malignant melanoma in situ	Generic	Expert
CS_00381		what causes hip pain at night	Direct Answer	Expert
CS_00382		denture cream recall	Direct Answer	General
CS_00383		pictures of cat scan machines	Resource	General
CS_00384		what is hydronephrosis	Generic	Expert
CS_00385		causes of knee joint pain	Direct Answer	Expert
CS_00386		corn removal from toes	Guide	Expert
CS_00387		causes for edema in feet	Direct Answer	Expert
CS_00388		ovarian cancer center	Generic	General
CS_00389		sigmacare login	Navigational	General
CS_00390		causes of joint inflammation	Direct Answer	Expert
CS_00391		what causes lung fibrosis	Direct Answer	Expert
CS_00392		rheumatoid vs osteo arthritis	Generic	Expert
CS_00393		side effects of colonoscopy	Direct Answer	Expert
CS_00394		neuropathy foot symptoms	Direct Answer	Expert
CS_00395		flying after cataract surgery	Generic	Expert
CS_00396		eczema treatment for eyelids	Guide	Expert
CS_00397		atrial fibrillation treatment	Guide	Expert
CS_00398		side effects of testofen	Direct Answer	Expert
CS_00399		poison ivy oak rash pictures	Resource	General
CS_00400		how to remove a deer tick	Guide	Expert
CS_00401		cancer centers of america	Generic	General
CS_00402		what causes dry eyes	Direct Answer	Expert
CS_00403		mouth diseases symptoms	Direct Answer	Expert
CS_00404		pet scan for cancer	Generic	Expert
CS_00405		what is a brain seizure	Direct Answer	Expert
CS_00406		diagnose rash pictures	Resource	Expert
CS_00407		mycosis fungoides pictures	Resource	General
CS_00408		leg cramps at night relief	Direct Answer	Expert
CS_00409		hand surgery recovery time	Direct Answer	Expert
CS_00410		are lung nodules serious	Direct Answer	Expert
CS_00411		how long do head lice live	Direct Answer	Expert
CS_00412		diabetes and sweating	Generic	Expert
CS_00413		how to kill bed bugs	Guide	General
CS_00414		what is dystonia symptoms	Direct Answer	Expert
CS_00415		hernia symptoms	Direct Answer	Expert
CS_00416		what does gout look like	Direct Answer	General
CS_00417		c diff colitis symptoms	Direct Answer	Expert
CS_00418		early signs of kidney stones	Direct Answer	Expert
CS_00419		ckd stage 3 life expectancy	Direct Answer	Expert
CS_00420		vestibular migraine symptoms	Direct Answer	Expert
CS_00421		itching red spots on skin	Generic	Expert
CS_00422		goiter causes and treatment	Direct Answer	Expert
CS_00423		stroke recovery time	Direct Answer	Expert
CS_00424		about low blood pressure	Generic	Expert
CS_00425		kegel exercise pictures	Resource	General
CS_00426		what is the cause of anemia	Direct Answer	Expert
CS_00427		how do i treat ringworm	Guide	Expert
CS_00428		hysteroscopy procedure	Guide	Expert
CS_00429		symptoms of plantar fasciitis	Direct Answer	Expert
CS_00430		causes of low heart rate	Direct Answer	Expert
CS_00431		gallblader symptons	Direct Answer	Expert
CS_00432		remove embedded tick	Guide	Expert
CS_00433		what is a bleeding ulcer	Generic	Expert
CS_00434		palliative care versus hospice	Generic	Expert
CS_00435		hamstring injury treatment	Guide	Expert
CS_00436		can you get hiv from saliva	Direct Answer	Expert
CS_00437		list of compact nursing states	Direct Answer	General
CS_00438		how to get rid of psoriasis	Guide	Expert
CS_00439		what is frozen shoulder pain	Generic	General
CS_00440		pre diabetes symptoms	Direct Answer	Expert
CS_00441		malaria and symptoms	Direct Answer	Expert
CS_00442		face rash photos	Resource	General
CS_00443		dizziness in seniors	Generic	Expert
CS_00444		what cause canker sores	Direct Answer	Expert
CS_00445		sinus drainage in throat	Generic	Expert
CS_00446		what is moyamoya disease	Generic	Expert
CS_00447		how to cure heel pain	Guide	Expert
CS_00448		alfuzosin side effect	Direct Answer	Expert
CS_00449		side effects of potassium	Direct Answer	Expert
CS_00450		what foods cause cholesterol	Direct Answer	Expert
CS_00451		relief for sore throat pain	Direct Answer	Expert
CS_00452		blood clot treatment	Guide	Expert
CS_00453		dementia symptoms	Direct Answer	Expert
CS_00454		what are black spots on skin	Generic	General
CS_00455		tick bite rash pictures skin	Resource	General
CS_00456		bone spurs shoulder pain	Generic	Expert
CS_00457		prolozone treatment doctors	Guide	Expert
CS_00458		dangers of cardiac ablation	Direct Answer	Expert
CS_00459		symptoms of sinus disease	Direct Answer	Expert
CS_00460		neuropathy in legs	Generic	Expert
CS_00461		how dangerous is aspartame	Direct Answer	Expert
CS_00462		what is raynauds syndrome	Generic	Expert
CS_00463		heart attack warnings	Direct Answer	Expert
CS_00464		what is staph infections	Generic	Expert
CS_00465		causes of bed bugs	Direct Answer	Expert
CS_00466		how to cure a fever blister	Guide	Expert
CS_00467		celiac foods to avoid	Direct Answer	Expert
CS_00468		cellfood side effects	Direct Answer	Expert
CS_00469		brachytherapy side effects	Direct Answer	Expert
CS_00470		what causes noise in ears	Direct Answer	Expert
CS_00471		foods for a healthy colon	Direct Answer	Expert
CS_00472		blood test for kidney disease	Generic	Expert
CS_00473		ablation for atrial fib	Generic	Expert
CS_00474		can stress cause shingles	Direct Answer	Expert
CS_00475		leg cramps and diabetes	Generic	Expert
CS_00476		what is prolapsed bowel	Generic	Expert
CS_00477		causes for numbness in face	Direct Answer	Expert
CS_00478		reumofan plus side effects	Direct Answer	Expert
CS_00479		best drinks for dehydration	Direct Answer	Expert
CS_00480		low heart rate symptoms	Direct Answer	General
CS_00481		protein in blood	Generic	Expert
CS_00482		symptoms of severe gas pain	Direct Answer	Expert
CS_00483		epley maneuver diagram	Resource	General
CS_00484		microalbumin test levels	Direct Answer	Expert
CS_00485		how to treat herniated disc	Guide	Expert
CS_00486		severe leg muscle cramps	Generic	Expert
CS_00487		what is hepatitis a and b	Generic	Expert
CS_00488		stabbing pain in ankle	Direct Answer	Expert
CS_00489		pictures of lung cancer	Resource	General
CS_00490		causes of bacteria in blood	Direct Answer	Expert
CS_00491		homeopathic physicians	Direct Answer	General
CS_00492		sweetener side effects	Direct Answer	Expert
CS_00493		ozone injection therapy	Generic	Expert
CS_00494		warning signs of a blood clot	Direct Answer	Expert
CS_00495		blood sugar test range	Direct Answer	Expert
CS_00496		what is mcv in a blood test	Generic	Expert
CS_00497		final stages of brain cancer	Direct Answer	Expert
CS_00498		cea test normal range	Generic	Expert
CS_00499		what causes renal failure	Direct Answer	Expert
CS_00500		mayo symptom checker	Navigational	General
CS_00501		swollen ankles in elderly	Direct Answer	Expert
CS_00502		hospital records	Generic	General
CS_00503		what causes black diarrhea	Direct Answer	Expert
CS_00504		what is duodenal ulcer	Generic	Expert
CS_00505		yeast infection causes	Direct Answer	Expert
CS_00506		what is stage 3 colon cancer	Generic	Expert
CS_00507		what is candida diet	Generic	Expert
CS_00508		pics of eczema on hands	Resource	General
CS_00509		pictures of foot diseases	Resource	Expert
CS_00510		recovery after lung surgery	Generic	Expert
CS_00511		symptoms mumps in adults	Direct Answer	Expert
CS_00512		what causes a lot of burping	Direct Answer	Expert
CS_00513		robitussin dosage chart	Resource	Expert
CS_00514		what causes too much iron	Direct Answer	Expert
CS_00515		hypoglycemic diet food list	Direct Answer	Expert
CS_00516		what is low hdl cholesterol	Generic	Expert
CS_00517		causes of fluid retention	Direct Answer	Expert
CS_00518		how to stop hot flashes	Guide	Expert
CS_00519		hemp seeds health benefits	Direct Answer	Expert
CS_00520		photos of eczema on face	Resource	Expert
CS_00521		symptoms for a cold	Direct Answer	Expert
CS_00522		pictures of fever blisters	Resource	Expert
CS_00523		prep for abdominal ct scan	Direct Answer	Expert
CS_00524		foot and mouth disease adult	Generic	Expert
CS_00525		pictures of ear cancer	Resource	General
CS_00526		what is adrenal failure	Generic	Expert
CS_00527		symptoms of the swine flu	Direct Answer	Expert
CS_00528		treatment for skin rash	Direct Answer	Expert
CS_00529		thyroxine side effects	Direct Answer	Expert
CS_00530		burning pain in leg	Direct Answer	Expert
CS_00531		side effects of pgx	Direct Answer	Expert
CS_00532		lupus butterfly rash pictures	Resource	General
CS_00533		pictures of skin abscesses	Resource	General
CS_00534		what is down syndrome	Generic	General
CS_00535		scalp cancer pictures	Resource	Expert
CS_00536		erythritol side effects	Direct Answer	General
CS_00537		how to liver cleanse	Guide	Expert
CS_00538		how to treat lice at home	Guide	Expert
CS_00539		tumor symptoms in head	Direct Answer	Expert
CS_00540		symptoms of feline distemper	Direct Answer	Expert
CS_00541		body aches without fever	Generic	Expert
CS_00542		images of german measles	Resource	General
CS_00543		danger of shingles vaccine	Generic	Expert
CS_00544		pictures of ringworm on face	Resource	General
CS_00545		types of eyeglass lenses	Direct Answer	Expert
CS_00546		what causes cirrhosis of liver	Direct Answer	Expert
CS_00547		symptoms of lung problems	Direct Answer	Expert
CS_00548		stomach infection symptoms	Direct Answer	Expert
CS_00549		eccn number lookup	Resource	General
CS_00550		poison control center number	Navigational	General
CS_00551		cat scan procedure	Generic	Expert
CS_00552		heart rate average by age	Direct Answer	Expert
CS_00553		pain after gallbladder surgery	Direct Answer	Expert
CS_00554		diseases of the pancreas	Generic	Expert
CS_00555		cervical cancer survival rates	Generic	Expert
CS_00556		symptoms of spinal tumors	Direct Answer	Expert
CS_00557		himalayan salt benefits	Generic	General
CS_00558		what is a vascular doctor	Generic	General
CS_00559		what is normal white count	Generic	Expert
CS_00560		pemphigus pictures	Resource	General
CS_00561		bulging disc symptoms	Direct Answer	Expert
CS_00562		thyroid levels high symptoms	Direct Answer	Expert
CS_00563		what is high tsh	Generic	Expert
CS_00564		types of lymphoma cancer	Direct Answer	Expert
CS_00565		crestor medication	Generic	Expert
CS_00566		what is codependency	Generic	General
CS_00567		causes of low thyroid levels	Direct Answer	Expert
