CS_ID	Keyword_ID	Keyword	Intent_1	Authority
CS_0272	3267	what is a bone lesion	Generic	General
CS_0273	3266	what is herniated disc	Generic	General
CS_0274	3265	medical uses of cinnamon	Direct Answer	Expert
CS_0275	3265	cetirizine hcl 10 mg	Generic	General
CS_0276	3264	burning tongue remedies	Guide	Expert
CS_0277	3264	fit test for colon cancer	Direct Answer	Expert
CS_0278	3263	symptoms for lung cancer	Direct Answer	Expert
CS_0279	3262	icd-10 codes	Direct Answer	General
CS_0280	3261	scabies pictures on humans	Resource	General
CS_0281	3260	what is alk phos blood test	Generic	General
CS_0282	3260	foods high in fiber	Direct Answer	General
CS_0283	3260	identifying bug bites pictures	Resource	General
CS_0284	3260	upper right back pain causes	Direct Answer	Expert
CS_0285	3259	first signs of cataracts	Direct Answer	Expert
CS_0286	3258	4 signs of a heart attack	Direct Answer	Expert
CS_0287	3257	what causes puffy eyelids	Direct Answer	Expert
CS_0288	3255	e coli in the urinary tract	Generic	Expert
CS_0289	3254	bee stings treatment	Guide	Expert
CS_0290	3253	hydroco/apap 10-325	Generic	General
CS_0291	3252	images of oral thrush	Resource	General
CS_0292	3252	what is a normal ldh level	Direct Answer	General
CS_0293	3251	what is cataract symptoms	Direct Answer	Expert
CS_0294	3251	middle back pain causes	Direct Answer	Expert
CS_0295	3251	what is e coli in urine	Generic	Expert
CS_0296	3250	pictures of sores on feet	Resource	General
CS_0297	3248	alzheimer disease stages	Generic	Expert
CS_0298	3246	concussion testing online	Navigational	General
CS_0299	3245	how to treat bloated stomach	Guide	Expert
CS_0300	3245	pulse rate chart	Resource	General
CS_0301	3244	mouth canker sore treatment	Guide	Expert
CS_0302	3243	remedies for shingles rash	Guide	Expert
CS_0303	3242	causes of foot ankle swelling	Direct Answer	Expert
CS_0304	3242	my white blood count is high	Generic	Expert
CS_0305	3242	renal diet foods to avoid	Direct Answer	Expert
CS_0306	3242	first symptoms of arthritis	Direct Answer	Expert
CS_0307	3241	sun skin rash pictures	Resource	General
CS_0308	3240	rheumatoid nodules pictures	Resource	General
CS_0309	3240	best food for acid reflux	Direct Answer	Expert
CS_0310	3239	side effects of curcumin	Direct Answer	Expert
CS_0311	3238	bleeding during menopause	Direct Answer	Expert
CS_0312	3238	lupus erythematosus pictures	Resource	General
CS_0313	3237	sample diet for prediabetes	Direct Answer	General
CS_0314	3237	4 stages of emphysema	Direct Answer	Expert
CS_0315	3236	what is eye floaters	Direct Answer	General
CS_0316	3236	ganoderma lucidum benefits	Direct Answer	Expert
CS_0317	3235	what to eat to lower ldl	Direct Answer	Expert
CS_0318	3234	what is a good hdl ldl ratio	Direct Answer	Expert
CS_0319	3234	pics of sun poisoning rash	Resource	General
CS_0320	3234	what food has high uric acid	Direct Answer	General
CS_0321	3233	yeast infection in men photos	Resource	General
CS_0322	3233	dropped bladder in women	Generic	General
CS_0323	3232	causes of abdominal fluid	Direct Answer	Expert
CS_0324	3232	skin cancer photos	Resource	General
CS_0325	3230	what foods are constipating	Direct Answer	Expert
CS_0326	3230	ovarian cancer symptoms	Direct Answer	Expert
CS_0327	3230	what is arterial stenosis	Generic	General
CS_0328	3229	dementia vs alzheimer's	Generic	Expert
CS_0329	3228	causes of lower back pain	Direct Answer	Expert
CS_0330	3226	five stages of dementia	Direct Answer	Expert
CS_0331	3225	itching symptoms of cancer	Direct Answer	Expert
CS_0332	3224	pictures of a heat rash	Resource	General
CS_0333	3224	what causes plantar fasciitis	Direct Answer	Expert
CS_0334	3223	what is normal calcium level	Direct Answer	General
CS_0335	3222	can you get shingles twice	Direct Answer	Expert
CS_0336	3221	diagnosis my symptoms	Generic	General
CS_0337	3221	reflux esophagitis symptoms	Direct Answer	Expert
CS_0338	3221	vertigo exercises handout	Resource	General
CS_0339	3220	cause of excessive burping	Direct Answer	Expert
CS_0340	3220	aloecure side effects	Direct Answer	Expert
CS_0341	3220	what causes numb feet	Direct Answer	Expert
CS_0342	3218	thyroid test ranges	Direct Answer	Expert
CS_0343	3218	skin melanoma pictures	Resource	General
CS_0344	3218	photos of hives skin rash	Resource	General
CS_0345	3215	para thyroid symptoms	Direct Answer	Expert
CS_0346	3215	symptoms blood clot leg	Direct Answer	Expert
CS_0347	3214	sleep apnea causes	Direct Answer	Expert
CS_0348	3214	side effects of tums	Direct Answer	Expert
CS_0349	3213	home remedy for heartburn	Guide	General
CS_0350	3212	what is hiatus hernia	Generic	General
CS_0351	3211	diverticulitis diet	Direct Answer	Expert
CS_0352	3211	picture of ringworm rash	Resource	General
CS_0353	3211	belviq side effects	Direct Answer	Expert
CS_0354	3208	picture of a heel spur	Resource	General
CS_0355	3207	diet sheet for diverticulitis	Resource	General
CS_0356	3206	spastic colon symptoms	Direct Answer	Expert
CS_0357	3202	blocked carotid symptoms	Direct Answer	Expert
CS_0358	3202	first signs of alzheimer's	Direct Answer	Expert
CS_0359	3202	top 10 knee surgeons	Direct Answer	Expert
CS_0360	3201	burning pain on top of foot	Generic	Expert
CS_0361	3200	black mold health effects	Direct Answer	Expert
CS_0362	3199	diet for ulcerative colitis	Direct Answer	Expert
CS_0363	3198	what is a spinal stroke	Generic	General
CS_0364	3198	vertigo symptoms and causes	Direct Answer	Expert
CS_0365	3197	symptoms of bleeding ulcer	Direct Answer	Expert
CS_0366	3194	colon blockage symptoms	Direct Answer	Expert
CS_0367	3194	thyroid disorders treatment	Direct Answer	Expert
CS_0368	3194	blood sugar levels normal	Direct Answer	General
CS_0369	3193	national awareness months	Generic	General
CS_0370	3193	borderline diabetes symptoms	Direct Answer	Expert
CS_0371	3193	home remedy for coughing	Guide	General
CS_0372	3192	foods easy to digest list	Direct Answer	General
CS_0373	3192	what are the 5 stages of grief	Direct Answer	General
CS_0374	3191	picture of boils on buttocks	Resource	General
CS_0375	3191	what is tmj of the jaw	Generic	Expert
CS_0376	3191	skin boil photos	Resource	General
CS_0377	3190	dialysis fistula picture	Resource	General
CS_0378	3190	arthritis in fingers and hands	Generic	General
CS_0379	3189	side effects advil	Direct Answer	Expert
CS_0380	3189	excedrin ingredients	Direct Answer	General
CS_0381	3188	what causes colitis	Direct Answer	Expert
CS_0382	3187	night leg cramps cause	Direct Answer	Expert
CS_0383	3186	cause of low platelet levels	Direct Answer	Expert
CS_0384	3186	blood sugar normal readings	Direct Answer	General
CS_0385	3184	fast cure laryngitis	Guide	Expert
CS_0386	3184	portal athenahealth	Navigational	General
CS_0387	3184	causes of wheezing in adults	Direct Answer	Expert
CS_0388	3184	shingles after vaccination	Direct Answer	Expert
CS_0389	3184	what is high bloodpressure	Generic	Expert
CS_0390	3183	prp injection cost	Transactional	General
CS_0391	3182	what causes osteoarthritis	Direct Answer	Expert
CS_0392	3182	symptoms of slight stroke	Direct Answer	Expert
CS_0393	3181	what is jelly bean for android	Generic	General
CS_0394	3180	hand foot and mouth disease	Generic	Expert
CS_0395	3178	breast cancer symtoms	Direct Answer	Expert
CS_0396	3177	normal iron count in blood	Direct Answer	Expert
CS_0397	3176	positive tb test picture	Resource	General
CS_0398	3175	what is sitz bath	Generic	General
CS_0399	3174	ebola virus history	Generic	General
CS_0400	3174	dry mouth during night	Generic	General
CS_0401	3174	codes universal remote	Direct Answer	General
CS_0402	3173	what normal heart rate	Direct Answer	General
CS_0403	3173	how do you treat vertigo	Guide	Expert
CS_0404	3172	chaga tea side effects	Direct Answer	Expert
CS_0405	3172	what is uterine cancer	Generic	General
CS_0406	3171	what is type a flu	Generic	General
CS_0407	3171	causes of skin rash on face	Direct Answer	Expert
CS_0408	3170	earliest symptoms of als	Direct Answer	Expert
CS_0409	3170	fast free iq test	Direct Answer	General
CS_0410	3170	thyroid disease symptoms	Direct Answer	Expert
CS_0411	3169	first signs of chickenpox	Direct Answer	Expert
CS_0412	3169	list of high cholesterol foods	Direct Answer	General
CS_0413	3169	raynaud disease symptoms	Direct Answer	Expert
CS_0414	3169	glucosamine side affects	Direct Answer	Expert
CS_0415	3167	signs of a sociopath	Direct Answer	Expert
CS_0416	3167	treatment for a concussion	Guide	Expert
CS_0417	3167	causes of tennis elbow pain	Direct Answer	Expert
CS_0418	3167	what can cause dark urine	Direct Answer	General
CS_0419	3167	activate my entry	Generic	General
CS_0420	3164	foods lowest in potassium	Direct Answer	General
CS_0421	3163	prescription medicines	Generic	General
CS_0422	3161	signs of torn knee ligament	Direct Answer	Expert
CS_0423	3161	what causes glaucoma	Direct Answer	Expert
CS_0424	3160	what is a high bilirubin level	Direct Answer	Expert
CS_0425	3160	hiccups after surgery	Generic	Expert
CS_0426	3158	symptoms from black mold	Direct Answer	Expert
CS_0427	3158	scleroderma symptoms	Direct Answer	Expert
CS_0428	3157	low fiber foods list	Direct Answer	Expert
CS_0429	3157	cause of yeast infection	Direct Answer	Expert
CS_0430	3156	signs of bed bug bites	Direct Answer	Expert
CS_0431	3156	remedies for wasp sting	Guide	General
CS_0432	3155	what is triglyceride levels	Generic	General
CS_0433	3155	what is metastatic carcinoma	Generic	General
CS_0434	3154	ask the doctor for free	Navigational	General
CS_0435	3154	hornet stings how to treat	Guide	General
CS_0436	3154	fatty liver symtoms	Direct Answer	Expert
CS_0437	3152	tick bite photos	Resource	General
CS_0438	3151	arthritis foods to avoid list	Direct Answer	Expert
CS_0439	3148	bunion removal surgery	Direct Answer	Expert
CS_0440	3147	hernia symptoms in men	Direct Answer	Expert
CS_0441	3145	doctors directory	Navigational	General
CS_0442	3145	causes of irregular heartbeats	Direct Answer	Expert
CS_0443	3144	remove plaque in arteries	Direct Answer	Expert
CS_0444	3144	bladder cancer prognosis	Direct Answer	Expert
CS_0445	3143	what is a hemangioma	Generic	General
CS_0446	3143	aortic aneurysm symptoms	Direct Answer	Expert
CS_0447	3141	location of kidneys in body	Direct Answer	General
CS_0448	3141	what is hdl cholesterol	Generic	General
CS_0449	3141	gamma knife side effects	Direct Answer	Expert
CS_0450	3140	how to get rid of hiccups	Guide	General
CS_0451	3139	normal fasting blood sugar	Direct Answer	Expert
CS_0452	3137	hiatal hernia foods not to eat	Direct Answer	Expert
CS_0453	3137	what is plantar calcaneal spur	Generic	General
CS_0454	3134	barrett's esophagus diet	Direct Answer	Expert
CS_0455	3134	mini stroke tia symptoms	Direct Answer	Expert
CS_0456	3132	what causes ringworms	Direct Answer	Expert
CS_0457	3131	ask dr k	Navigational	General
CS_0458	3131	hancock coupons printable	Transactional	General
CS_0459	3131	end stage liver disease	Generic	General
CS_0460	3131	how to treat low sodium	Guide	Expert
CS_0461	3128	what causes abdominal gas	Direct Answer	Expert
CS_0462	3127	location of female bladder	Direct Answer	Expert
CS_0463	3127	kidney disease stages	Direct Answer	Expert
CS_0464	3126	effects of radiation treatment	Direct Answer	Expert
CS_0465	3126	what is magnesium oxide	Generic	General
CS_0466	3125	what is normal hdl range	Direct Answer	Expert
CS_0467	3123	photos of tick bites	Resource	General
CS_0468	3122	lithium side effects bipolar	Direct Answer	Expert
CS_0469	3122	photos of canker sores	Resource	General
CS_0470	3120	early symptoms of ra	Direct Answer	Expert
CS_0471	3119	treatment for arthritic knees	Guide	Expert
CS_0472	3119	meningitis symptoms	Direct Answer	Expert
CS_0473	3118	list of low phosphorus foods	Direct Answer	Expert
CS_0474	3116	signs and symptoms of als	Direct Answer	Expert
CS_0475	3116	new hepatitis c treatment	Direct Answer	Expert
CS_0476	3115	treatment for muscle cramps	Guide	Expert
CS_0477	3115	hot flashes after menopause	Generic	Expert
CS_0478	3114	b cell lymphoma prognosis	Direct Answer	Expert
CS_0479	3114	early signs of hiv infection	Direct Answer	Expert
CS_0480	3114	medical records	Generic	General
CS_0481	3112	images of cancerous tumors	Resource	General
CS_0482	3111	what is homocysteine	Generic	General
CS_0483	3111	what is oncology	Generic	General
CS_0484	3110	pneumonia is contagious	Direct Answer	Expert
CS_0485	3110	what is keratosis	Generic	General
CS_0486	3110	colon cancer survival rates	Direct Answer	Expert
CS_0487	3110	end stage pancreatic cancer	Generic	Expert
CS_0488	3110	foot pain on top of foot	Generic	Expert
CS_0489	3109	removing skin tags naturally	Guide	General
CS_0490	3108	what foods clean your liver	Direct Answer	Expert
CS_0491	3106	shingles eye treatment	Direct Answer	Expert
CS_0492	3106	what is cerefolin nac	Generic	General
CS_0493	3106	swollen neck glands pictures	Resource	Expert
CS_0494	3106	pre diabetes food list	Direct Answer	General
CS_0495	3105	what is prostate infection	Generic	Expert
CS_0496	3104	renal diet food list	Direct Answer	Expert
CS_0497	3102	bladder prolapse symptoms	Direct Answer	Expert
CS_0498	3102	what is sebaceous cyst	Generic	General
CS_0499	3099	what causes gall stones	Direct Answer	Expert
CS_0500	3097	eye chart to test vision	Resource	General
CS_0501	3097	fasting blood sugar range	Direct Answer	Expert
CS_0502	3096	colitis diet menu	Resource	Expert
CS_0503	3096	diabetes numbers	Generic	General
CS_0504	3093	skin allergic reaction pictures	Resource	General
CS_0505	3092	how to treat hemorrhoids	Guide	Expert
CS_0506	3092	bumps on eyelids pictures	Resource	General
CS_0507	3092	how to cure trigger finger	Guide	Expert
CS_0508	3091	cure for trigger finger	Direct Answer	Expert
CS_0509	3091	what is a tubular adenoma	Generic	Expert
CS_0510	3090	picture of meniscus tear	Resource	General
CS_0511	3089	gout foods not to eat list	Direct Answer	Expert
CS_0512	3084	skin melanoma photos	Resource	General
CS_0513	3082	what can cause vertigo	Direct Answer	Expert
CS_0514	3081	antibiotics for diverticulitis	Direct Answer	Expert
